,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-06-28,1207.2121725758393,1207.2121725758393,1177.0564410661386,1180.2540283203125,12507092,387.9263614555754,390.2055993306075,386.1029884921122,387.3793640136719,18554411
2024-07-01,1180.25407382428,1195.7500741919466,1172.8259044392062,1192.3065185546875,8636894,388.6557165788598,392.25689602791135,387.1513942432347,391.1628723144531,13391362
2024-07-02,1197.37356592243,1197.37356592243,1166.430804884834,1171.3992919921875,16153925,392.02896997249417,392.6215625266498,385.23682315339903,387.92633056640625,11177863
2024-07-03,1177.54840489326,1196.24199235147,1160.428990253299,1182.2218017578125,22330897,388.4733708395652,391.70987576739714,387.9263445272619,390.4790954589844,7435499
2024-07-04,1209.179986290108,1215.033982934888,1194.7171004020095,1213.115478515625,15275791,392.0289780327245,393.3965148981146,389.33947056442025,391.1628723144531,9478861
2024-07-05,1205.2444756355717,1222.5606171427328,1201.1613784936928,1213.509033203125,9535575,391.1172630223574,395.6757383384228,389.84088762231767,395.3566589355469,13427543
2024-07-08,1209.0816030717467,1219.5106332770943,1197.2751265898385,1215.1324462890625,6617190,396.72422041086423,405.29414529158566,395.3566835098957,404.42803955078125,21311436
2024-07-09,1215.0339475267522,1230.038011199292,1209.4751610015549,1228.1195068359375,13366874,408.07479488064865,414.8213465379182,404.79269491641344,412.6332702636719,27489709
2024-07-10,1232.5470372074883,1232.5470372074883,1216.4114942007566,1223.1510009765625,18226503,413.6361603295421,415.1404827339749,407.0719599600082,411.5848693847656,12065662
2024-07-11,1226.2501602309792,1237.5155787915146,1205.2937361837155,1218.4775390625,11307116,410.2629071737522,418.9240227196027,409.07769306817414,418.1490783691406,19556596
2024-07-12,1215.9687089511149,1232.6945505595163,1210.2621973028672,1213.01708984375,12208290,418.14905833228465,422.3428593192128,415.5963073929136,418.51373291015625,19693114
