,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-06-26,1435.425808927042,1507.8149506909176,1434.5075565031482,1502.9013671875,22014882,842.5857736709851,844.041138181783,834.2731473521208,839.40380859375,47596666
2024-06-27,1502.6284353235128,1526.2039433921725,1494.935374795845,1519.3050537109375,28383030,836.7397746618053,845.0770913433391,832.0531241260426,836.7644653320312,55074650
2024-06-28,1519.7764812043604,1569.3842873036351,1519.7764812043604,1553.89892578125,28957336,837.4798157900913,841.9198007397313,828.3038589383985,830.671875,26476046
2024-07-01,1551.0450507194453,1567.7960689891884,1544.2454023527885,1548.6875,7724306,828.7971320491276,842.2651095333842,828.7971320491276,841.2290649414062,21187024
2024-07-02,1557.968712393485,1561.939323957406,1545.5605512562322,1553.675537109375,7749246,846.0637432263002,855.8810546817267,840.0204307746837,853.7597045898438,45921690
2024-07-03,1554.8170660210362,1563.4283787351976,1531.440162014497,1541.019287109375,9049620,883.5569558267186,885.0369507276009,870.5576793248654,872.531005859375,123217802
2024-07-04,1545.5606622734106,1555.983518377374,1539.4062623766438,1542.6075439453125,6837176,868.1404005851939,868.1404005851939,850.9231133709549,852.0578002929688,45848658
2024-07-05,1542.4088769403465,1586.755694667964,1536.6267221432645,1576.9532470703125,12269710,831.2638253093144,831.2638253093144,810.1492067263514,813.0598754882812,82242548
2024-07-08,1577.325467706802,1596.9800437158895,1570.8980643748457,1589.1380615234375,9500806,811.678583484828,816.4391857049037,802.7246020410699,806.7698974609375,39087800
2024-07-09,1585.8623208770043,1588.7410386525216,1568.887979750272,1578.5911865234375,6960002,801.6639054458949,812.3691778178521,799.369901303005,807.3372192382812,48550878
2024-07-10,1583.2814308954767,1585.7630632323035,1551.6654591589945,1572.5855712890625,7134578,804.1058576798249,809.063864597064,799.5672308205436,802.20654296875,45507182
2024-07-11,1575.8365135146928,1592.4634499565013,1558.9614138424095,1569.036865234375,11940946,801.1459373403621,802.0832795528332,789.8239996598078,800.1346435546875,44177074
2024-07-12,1572.8586162043875,1593.3569240772113,1562.9320865975437,1584.9937744140625,12924784,800.1839277769812,808.2745787950348,794.8312914757237,800.5292358398438,56049960
2024-07-15,1592.6620057625546,1594.0517441522056,1573.8512804915936,1585.4901123046875,5329688,800.9239527377698,804.031966294815,796.8292758573642,800.2332763671875,33375694
2024-07-16,1581.792452589091,1588.24469666931,1557.5965372882695,1564.669189453125,9386838,799.5672452078501,802.6505679180453,797.6186093434653,799.0739135742188,28950324
