,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
,Open,High,Low,Close,Volume
Date,,,,,
2025-07-07,144437.08756593426,144437.08756593426,141980.87827924688,142914.4375,3844
2025-07-08,142784.64556922452,145330.71630941908,141990.87057375212,144721.65625,4391
2025-07-09,144721.6565273239,151665.93967712237,143778.11266297317,150482.765625,24541
2025-07-10,149868.71119039992,150467.78665152076,146773.48797460884,148051.515625,9580
2025-07-11,148051.5164893079,148650.59195392608,145974.72154529818,148011.578125,7148
2025-07-14,148011.57288622393,150367.9362969868,146778.47593186283,148615.640625,11768
2025-07-15,149299.59007237124,151066.86268942532,148041.5315992141,150552.65625,9826
2025-07-16,149968.5448981767,152764.2301559323,149968.5448981767,152235.046875,7865
2025-07-17,151865.6196441027,152235.04948807586,149773.84795998438,150303.03125,6478
2025-07-18,150532.0292823644,151497.01023867013,147497.08917626302,148057.078125,8078
2025-07-21,148397.0782234426,148997.06641032983,146547.11464720697,148402.078125,6592
2025-07-22,148497.0716174833,150897.0242900891,147857.08423812175,148167.078125,6764
2025-07-23,148597.07277874128,150297.03929101492,148597.07277874128,149912.046875,3588
2025-07-24,149912.03471249918,152186.98971347263,149897.03500919606,150877.015625,7838
2025-07-25,150797.0311976409,151247.02233848267,148422.07795430935,149207.0625,4591
2025-07-28,149497.0446174859,150767.01951156085,147202.08998606695,147802.078125,4668
2025-07-29,148297.06773501055,150217.0297717686,148012.07337017928,149352.046875,4513
2025-07-30,149957.04815447427,150287.04165868188,148597.0749250125,150022.046875,3136
2025-07-31,149047.05431046872,149492.0455158908,147197.09087219724,147842.078125,6737
2025-08-01,148397.07583701724,149177.06046742745,145047.14184743498,145902.125,6369
2025-08-04,145897.12441955158,147192.0988960651,143992.16196568424,144282.15625,6882
2025-08-05,144597.14954232232,146277.11642497173,144197.1574274058,145842.125,3962
2025-08-06,146997.09723076134,147382.08962827048,145697.12290150972,146382.109375,4222
2025-08-07,145497.13190569438,146127.11948714172,143497.1713296711,144262.15625,4325
2025-08-08,144697.14838138947,144697.14838138947,141997.20159058264,142712.1875,2851
