,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
1996-01-01,4.600218980880329,4.624902728057355,4.569924814364612,4.617048740386963,104121369.0,,,,,,0.47746979055245486,0.47852575778961176,0.4751236780242932,0.4785257577896118,204800,1.1692653205140573,1.1692653205140573,1.1287462175057394,1.149970531463623,700000
1996-01-02,4.6058284991080605,4.6282683753213965,4.54748404172858,4.581143856048584,168743308.0,,,,,,0.4774698127232849,0.4798165697886332,0.47659045457839966,0.47659045457839966,204800,1.1499701765870907,1.1673355273760044,1.1383933067294092,1.1480406522750854,824000
1996-01-03,4.65631894421155,4.868378121911788,4.605829363111176,4.615927219390869,209323879.0,,,,,,0.4798165559768676,0.4798165559768676,0.4798165559768676,0.4798165559768677,102400,1.1480410949171935,1.1557590111313905,1.138393745651857,1.151900053024292,568000
1996-01-04,4.572168087196003,4.586753976770266,4.511579762051921,4.57328987121582,216900264.0,,,,,,0.4751237084471343,0.47746982112552094,0.4751237084471343,0.47664874792099,307200,1.1518997618355118,1.149970329272113,1.134534500745743,1.1441818475723267,564000
1996-01-05,4.5553389939621605,4.5553389939621605,4.502604944010826,4.541874885559082,166708467.0,,,,,,0.47101759910583496,0.47101759910583496,0.47101759910583496,0.47101759910583496,51200,1.144182236067333,1.1499707197325382,1.1383938444069548,1.142252802848816,378000
1996-01-08,4.532899540516604,4.536265193307418,4.315230217023363,4.360110282897949,186974245.0,,,,,,0.47101755747636426,0.47512363892963805,0.4716044167246166,0.4739505648612976,358400,1.142252549477104,1.1383935918912276,1.1229577615477218,1.1287461519241333,474000
1996-01-09,4.231079919336547,4.308497720532409,4.08970722689821,4.234445571899414,388766555.0,,,,,,0.47395074158056544,0.46925844355761354,0.46339249820367523,0.46867161989212036,870400,1.128746222083356,1.128746222083356,1.0805092032592396,1.0920860767364502,966000
1996-01-10,4.151416301437605,4.25127425866159,4.106536249946615,4.125609874725342,276606655.0,,,,,,0.4686713818010376,0.4657384106140555,0.4633922627944528,0.46456533670425415,358400,1.0920858053630982,1.105592200399367,1.0843678916294557,1.0959447622299194,452000
