,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2002-09-13,818.0016814055742,825.0440689658296,817.1439423518134,818.0468139648438,202.0,,,,,,,,,,
2002-09-16,808.0705768308244,823.4194034298456,808.0705768308244,819.401611328125,201.0,,,,,,,,,,
2002-09-17,817.0991577879767,824.3221337684229,817.0991577879767,821.2072143554688,353.0,,,,,,,,,,
2002-09-18,817.9117266476333,825.2249674454607,817.0991198447942,822.4260864257812,910.0,,,,,,,,,,
2002-09-19,817.144218512064,826.0826725446493,817.144218512064,820.0785522460938,208.0,,,,,,,,,,
2002-09-20,818.0018197876843,827.9334092111551,818.0018197876843,826.5791015625,660.0,,,,,,,,,,
2002-09-23,818.001905919562,824.7734448758497,817.0990340587235,821.839111328125,1170.0,,,,,,,,,,
2002-09-24,818.0019125551901,825.2248875004898,818.0019125551901,824.2317504882812,1038.0,,,,,,,,,,
2002-09-25,817.0991784404268,826.0376334849248,817.0991784404268,825.4507446289062,440.0,,,,,,,,,,
2002-09-26,814.3905085654741,826.1278440547769,814.3905085654741,824.502685546875,312.0,,,,,,,,,,
2002-09-27,823.4192053453556,837.8651563163269,823.4192053453556,833.3056640625,757.0,,,,,,,,,,
2002-09-30,830.642084695805,830.642084695805,795.9266517651229,812.1783447265625,369.0,,,,,,,,,,
2002-10-01,822.5163783282977,822.5163783282977,787.3495034914478,792.8570556640625,278.0,,,,,,,,,,
2002-10-02,792.8570556640625,792.8570556640625,792.8570556640625,792.8570556640625,0.0,,,,,,,,,,
2002-10-03,803.5559981349943,803.5559981349943,785.4985599746573,790.46435546875,319.0,,,,,,,,,,
2002-10-04,790.9160131037544,794.5275017480637,781.9775566663112,786.8530883789062,133.0,,,,,,,,,,
2002-10-07,790.0128624655983,794.5272216796875,776.469784823331,794.5272216796875,102.0,,,,,,,,,,
2002-10-08,785.4987635862311,801.7053295574734,785.4987635862311,792.7217407226562,32.0,,,,,,,,,,
2002-10-09,780.9841544669689,802.3822284488939,780.9841544669689,788.9745483398438,161.0,,,,,,,,,,
2002-10-10,785.4984588605284,785.4984588605284,754.8008179395423,756.5162963867188,314.0,,,,,,,,,,
2002-10-11,767.3958344941643,769.2467105109822,754.8910280255809,756.6065063476562,436.0,,,,,,,,,,
2002-10-14,744.8692380639142,773.7160032139556,744.8692380639142,760.6694946289062,264.0,,,,,,,,,,
2002-10-15,760.6694946289062,760.6694946289062,760.6694946289062,760.6694946289062,0.0,,,,,,,,,,
2002-10-16,766.9445226058973,771.9103179013413,758.6380903630424,767.6668090820312,138.0,,,,,,,,,,
2002-10-17,749.4737094356718,770.8266452833572,743.4245136694889,758.6378784179688,231.0,,,,,,,,,,
2002-10-18,703.7433567605069,767.3958115358078,703.7433567605069,759.67626953125,191.0,,,,,,,,,,
2002-10-21,767.4409362505066,769.1564145037148,759.3150910431484,765.6351928710938,379.0,,,,,,,,,,
2002-10-22,771.0522959321155,771.0522959321155,765.6350666866907,766.8991088867188,192.0,,,,,,,,,,
2002-10-23,762.0239303768382,767.441162109375,753.8980827780331,767.441162109375,104.0,,,,,,,,,,
2002-10-24,767.4410691372184,776.4697875976562,764.7324535990871,776.4697875976562,242.0,,,,,,,,,,
2002-10-25,771.9553991036039,777.3726299745064,765.7255615592971,771.8199462890625,317.0,,,,,,,,,,
2002-10-28,767.5313601912598,769.246838799428,753.8980168985005,756.2906494140625,123.0,,,,,,,,,,
2002-10-29,760.1278247001476,760.1278247001476,744.8692685501092,744.9595336914062,74.0,,,,,,,,,,
2002-10-30,741.257868891991,752.9049390574266,735.8406372070312,735.8406372070312,422.0,,,,,,,,,,
2002-10-31,736.7433416361423,747.5778025425561,733.1318546673376,735.7050170898438,185.0,,,,,,,,,,
2002-11-01,732.2292253818797,758.4125145755597,732.2292253818797,756.1553344726562,114.0,,,,,,,,,,
2002-11-04,793.5340237009904,793.5340237009904,741.3028585445321,775.1154174804688,73.0,,,,,,,,,,
2002-11-05,740.3547176222917,762.8362426757812,726.8116435194449,762.8362426757812,81.0,,,,,,,,,,
2002-11-06,762.8362426757812,762.8362426757812,762.8362426757812,762.8362426757812,0.0,,,,,,,,,,
2002-11-07,762.9270129682201,767.3511088140095,758.4577845335851,759.3606567382812,49.0,,,,,,,,,,
2002-11-08,759.3152532107031,769.2468439185719,759.0895352400696,761.7078857421875,369.0,,,,,,,,,,
2002-11-11,764.6873235433571,764.6873235433571,749.3836346811937,755.0717163085938,71.0,,,,,,,,,,
2002-11-12,753.8980415164115,758.4124010464499,751.1894257983885,757.9158325195312,140.0,,,,,,,,,,
2002-11-13,761.1324946406654,772.8666316606234,761.1324946406654,762.8541259765625,126.0,,,,,,,,,,
2002-11-14,762.9445936953467,764.7568136328654,754.7896039765128,764.439697265625,81.0,,,,,,,,,,
2002-11-15,762.0386098406917,764.7569401968417,758.4141693658252,763.850830078125,38.0,,,,,,,,,,
2002-11-18,797.3314470717846,797.3314470717846,762.038454099828,765.2098388671875,366.0,,,,,,,,,,
2002-11-19,765.2098388671875,765.2098388671875,765.2098388671875,765.2098388671875,0.0,,,,,,,,,,
2002-11-20,770.1936182263839,770.1936182263839,756.601966140036,763.1712646484375,183.0,,,,,,,,,,
2002-11-21,759.3204789726655,765.6632514700505,756.6021479023576,764.7571411132812,35.0,,,,,,,,,,
2002-11-22,755.0162539522264,771.0997085068643,755.0162539522264,767.5658569335938,112.0,,,,,,,,,,
2002-11-25,770.1937474277989,778.4393289548985,765.8444290914763,768.9251708984375,401.0,,,,,,,,,,
2002-11-26,767.6112168612905,773.5009326917885,762.0386174536821,766.9769287109375,255.0,,,,,,,,,,
2002-11-27,767.7472501600533,791.9404063579934,767.7472501600533,774.6790161132812,316.0,,,,,,,,,,
