,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-02-05,1450.0177530325548,1459.6961190035063,1421.007495677393,1428.452392578125,8814432,3735.2998425709893,3771.874458152277,3715.6996914451147,3726.203125,1691523,1595.5815235195898,1601.2304328815121,1583.4363454059862,1588.4732666015625,3634135,703.7476277670278,706.6190857097415,697.931756543557,703.1879272460938,38605046
2024-02-06,1431.2565145548228,1431.2565145548228,1409.3933108861847,1417.309814453125,9047984,3748.4294655539775,3891.820633736524,3741.864790482955,3878.78515625,4474396,1588.0494991796102,1631.5931715300217,1575.9984476716934,1628.2508544921875,7694265,703.5286059562596,705.5483042801744,697.2259898811583,702.8228759765625,41075740
2024-02-07,1425.3752031215413,1438.8504181404362,1418.7491963623445,1431.554443359375,9296568,3894.7280181656797,3896.603639652877,3820.594033092657,3829.456298828125,2124267,1627.827356650715,1627.827356650715,1588.143745994436,1594.6400146484375,4613877,707.1543478186637,707.5437201567751,694.330191039234,695.9362182617188,54837086
2024-02-08,1439.3467435794867,1448.752105824393,1417.0368932886952,1439.4708251953125,14694634,3835.6458733260915,3899.417002760364,3831.9415667460817,3877.00341796875,2345173,1598.6412091518757,1606.50258433862,1584.3306859949523,1593.08642578125,5919715,695.8875630019661,700.3163911601653,681.6033490400813,682.8444213867188,69106124
2024-02-09,1443.31729322881,1461.1602045826953,1440.2896534634558,1450.0177001953125,12556798,3879.3008122308597,3924.5034728185747,3845.0240130368975,3876.62841796875,2100596,1586.1193710004457,1593.8396151923025,1562.676491800521,1571.6676025390625,4600004,677.5395328507874,688.2709172654594,675.033089526087,683.112060546875,56642124
2024-02-12,1450.017752117624,1450.2659153474917,1431.7529141646626,1441.679443359375,6674430,3873.1582239962727,3900.917512535836,3850.2285690197773,3864.436767578125,1013716,1572.6092188693096,1593.8867538003944,1572.6092188693096,1581.7886962890625,3555808,681.18969323455,688.0032934481292,673.2566920790741,676.4931640625,34447812
2024-02-13,1444.8063713272154,1468.1337156942297,1443.3173918995335,1454.3358154296875,7715594,3868.891634867096,3910.670921618945,3827.6746682464563,3891.44580078125,1257415,1584.518924068217,1590.2619583832927,1566.1599704025425,1585.978271484375,2696481,677.4422211445823,683.4771364619307,673.7434212435891,678.658935546875,57580994
2024-02-14,1446.7916226083244,1472.749520552248,1446.7916226083244,1470.4912109375,7117888,3851.5882333641575,3858.9968457118357,3797.6641224758114,3845.117431640625,1391283,1563.053238842943,1571.761974467885,1539.7986069829612,1568.7021484375,3768579,669.6795681971766,677.2231970540489,663.6203545889955,673.597412109375,91320810
2024-02-15,1472.4516121931645,1473.8165098910026,1455.750276105359,1459.7952880859375,10006782,3871.282423660838,3888.444175657724,3829.0809437517446,3848.02490234375,1091582,1578.8701668773688,1588.9911294855572,1564.3712765276096,1578.2581787109375,4834391,674.0597534612269,688.903668609651,673.7433958465795,688.197998046875,41584944
2024-02-16,1465.6271998466532,1466.1483668657747,1447.8339689108675,1449.843994140625,9767498,3857.4498528668705,3889.9920672478725,3845.1177337734257,3871.563720703125,1307556,1590.1679521477781,1608.9976496273255,1589.1793470591608,1602.0777587890625,4880654,692.9918479710976,694.8412181662663,685.4725175238648,691.0451049804688,32175742
2024-02-19,1451.3082561823699,1468.6300012389227,1442.8458657695369,1463.17041015625,6729828,3866.640503768057,3871.56401029997,3802.822664172948,3848.587646484375,772291,1605.2317360980246,1611.3513878778704,1588.9440015438006,1600.2889404296875,3690993,695.4739454261017,695.4739454261017,688.7576582283627,689.682373046875,34451756
2024-02-20,1464.1880192365334,1464.659505178025,1451.0602075132595,1460.2174072265625,7117496,3828.236868254403,3843.1479657037125,3760.620630178596,3779.986328125,1193648,1586.401957891193,1595.1106926748687,1571.1028292171682,1586.6373291015625,3706389,688.660276266856,709.22274741334,687.1029057664576,707.7870483398438,56133508
2024-02-21,1463.170510366537,1477.5888193115914,1446.8414171157522,1456.916748046875,12720292,3763.434169375059,3810.653027573639,3733.0491956484493,3743.271240234375,1885939,1576.04564252021,1576.04564252021,1549.0250732340833,1558.67529296875,4300508,712.5079475266035,712.5079475266035,698.3940605878935,700.413818359375,45893136
2024-02-22,1457.3633484018678,1474.0398440634356,1447.2878974462733,1470.8634033203125,18493728,3724.0461165985157,3840.2877016688244,3724.0461165985157,3832.926025390625,2982052,1567.5722005233338,1586.0252797181995,1548.1776365233488,1582.9654541015625,5841277,689.9986977762575,695.3765988884213,687.2975681948778,690.874755859375,50560882
2024-02-23,1478.556551746289,1486.5474563697878,1472.4517119404402,1482.6512451171875,14438584,3873.157895434478,3873.157895434478,3794.756835314285,3800.1025390625,2538072,1597.6997014214783,1599.0648084069708,1574.0684559887509,1578.728759765625,5373072,692.3348761341468,697.8587478235042,690.1204320838871,691.3858032226562,29833452
