,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-02-24,1211.7105497558396,1218.3838481751116,1205.68456833515,1209.718505859375,7172498,1748.309923055587,1756.0313630959042,1699.9413126430345,1713.3931884765625,7594720,829.339781575346,830.8690975664632,819.4731490892408,827.366455078125,20693646
2025-02-25,1206.1826029932777,1216.1428226711741,1196.7203942992758,1199.21044921875,11552182,1694.987890846883,1727.3306532632726,1694.987890846883,1716.8896484375,5092963,824.406500920576,832.7438177754724,824.406500920576,829.9564819335938,24138708
2025-02-27,1207.975493883109,1210.166693583284,1195.8738026303336,1202.298095703125,11509215,1704.748997302386,1724.8054634563641,1700.7668702151418,1713.5875244140625,5757079,830.0552335524236,843.9671626938127,830.0552335524236,839.0091552734375,35786800
2025-02-28,1197.218393771922,1212.5073065135477,1188.5530513693543,1195.325927734375,23007298,1704.6034155946859,1704.6519072727174,1634.0901134127998,1639.189208984375,12182167,831.2638337603047,857.0404125816553,831.2638337603047,854.6477661132812,54516728
2025-03-03,1199.2104168056296,1201.6506219268736,1151.4013636439433,1166.5906982421875,17944938,1643.6569975986285,1678.9135283002097,1643.6569975986285,1659.4884033203125,7504969,858.2984018170607,859.9017296292334,835.7531099870528,839.428466796875,21205364
2025-03-04,1157.576687742468,1169.3297956512124,1154.9373267832577,1157.2779541015625,11377373,1646.2794646548505,1650.1644899401717,1621.9980566215932,1639.7720947265625,6759673,837.6771272358142,845.7184570804238,835.3338019387764,843.5971069335938,19920958
2025-03-05,1156.3815647449799,1178.2940491759787,1152.3974766666165,1170.9234619140625,8664095,1643.8026956375877,1683.1385762213686,1643.8026956375877,1662.30517578125,8180782,839.6257577393887,843.991790915382,832.8671383829512,833.73046875,21583872
2025-03-06,1192.2383549047067,1209.1208794668382,1180.4355183146993,1204.7882080078125,14468014,1665.7046071983816,1672.794825837321,1642.4915571816716,1666.5301513671875,10610547,832.2504799228543,838.6144701478811,824.973838204501,834.3224487304688,32966088
2025-03-07,1211.1627762331514,1249.8084792402678,1207.178688153437,1244.828369140625,16474965,1654.146667899849,1655.9920786793123,1627.340016320931,1637.5382080078125,8019331,829.7838192395386,839.2311321984157,827.6131479773222,833.3604736328125,13372914
2025-03-10,1240.0473535020744,1252.9956391209716,1230.4855669004469,1233.4736328125,11931051,1637.5382042171923,1669.5896637303404,1628.01984457351,1652.5440673828125,7558981,833.2371287977431,838.6144556459366,830.3018296675241,832.4971313476562,15604050
2025-03-11,1235.0672477916657,1244.5294565449083,1224.858022557904,1242.3382568359375,10089838,1631.7106175387037,1631.7106175387037,1589.995206020896,1613.8394775390625,12671234,829.9811819724781,835.7038170818192,823.8885481247595,831.510498046875,19898430
2025-03-12,1252.995610693361,1257.9757204337955,1239.0513034201438,1252.0494384765625,11977555,1589.84944650162,1589.84944650162,1518.850635339536,1545.123046875,14870008,834.4951408301645,847.7904041385841,834.4951408301645,844.1644287109375,18784106
2025-03-13,1255.0376050433522,1259.1212710412995,1238.901975238559,1242.9359130859375,9505270,1553.2816045131979,1559.886194636392,1525.163782654934,1534.439208984375,7822888,846.5818201293218,848.9251455168071,838.6885135609504,841.9197998046875,15736264
2025-03-17,1237.208673957254,1252.3980085038181,1228.1946267891797,1233.9217529296875,16640917,1500.736758011993,1548.1826065260266,1500.736758011993,1544.34619140625,7526032,841.1304307424771,850.5037317302232,841.1304307424771,843.79443359375,18950652
2025-03-18,1233.9217529296875,1233.9217529296875,1233.9217529296875,1233.9217529296875,0,1544.34619140625,1544.34619140625,1544.34619140625,1544.34619140625,0,843.79443359375,843.79443359375,843.79443359375,843.79443359375,0
2025-03-19,1236.113132982547,1248.2645525643281,1233.8720835165427,1242.1888427734375,16162399,1556.9238965430377,1556.9238965430377,1527.5920028100838,1540.94677734375,7387068,855.930432694155,863.823739278078,854.5490799535085,860.4197387695312,15221406
2025-03-20,1246.8700894970418,1267.9359786597456,1245.0773228865291,1264.101318359375,15971477,1546.2400259441436,1584.9931759348294,1546.2400259441436,1569.1131591796875,7186750,865.3037412350927,875.1703745445009,862.985106495842,872.5803833007812,17833978
2025-03-21,1269.927977701306,1275.9041093610767,1265.0474458622177,1271.2725830078125,21780769,1532.59385494289,1557.7980274559397,1518.7049607743006,1546.7742919921875,10074677,866.0684175252852,875.2196836615442,866.0684175252852,873.3696899414062,33508264
2025-03-24,1285.86434660882,1300.8046759652354,1279.141198398433,1296.920166015625,20299319,1552.0189913058653,1560.9060103586978,1527.4947691913153,1546.968505859375,8857726,877.6369838460287,890.1676194932312,874.997671627427,887.9969482421875,17393736
2025-03-25,1302.497915186312,1302.497915186312,1277.4977874103538,1280.33642578125,13713899,1558.8663000022038,1589.1209562659596,1558.8663000022038,1581.6422119140625,9890140,890.4143157035983,909.5555477752322,888.7369760332164,898.5789184570312,39101416
