,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
1996-01-01,,,,,,1.1692653205140573,1.1692653205140573,1.1287462175057394,1.149970531463623,700000
1996-01-02,,,,,,1.1499704154063823,1.1673357698016338,1.138393543144482,1.1480408906936646,824000
1996-01-03,,,,,,1.1480409761072647,1.1557588915227401,1.138393627840325,1.1518999338150024,568000
1996-01-04,,,,,,1.151899641822113,1.149970209459737,1.1345343825415852,1.144181728363037,564000
1996-01-05,,,,,,1.144182236067333,1.1499707197325382,1.1383938444069548,1.142252802848816,378000
1996-01-08,,,,,,1.1422526701128328,1.1383937121194037,1.122957880145687,1.1287462711334229,474000
1996-01-09,,,,,,1.128746222083356,1.128746222083356,1.0805092032592396,1.0920860767364502,966000
1996-01-10,,,,,,1.092086280521254,1.1055926814340518,1.0843683634296062,1.0959452390670776,452000
1996-01-11,,,,,,1.095945034562187,1.111380957869946,1.0805092032592396,1.0920860767364502,636000
1996-01-12,,,,,,1.0920859879293445,1.0940155126877125,1.0805091153935513,1.0901565551757812,862000
1996-01-15,,,,,,1.0901569018872581,1.086297943148031,1.0708621081911225,1.0766505002975464,362000
1996-01-16,,,,,,1.0766499493032629,1.080508906067602,1.0573551654815674,1.0573551654815674,716000
1996-01-17,,,,,,1.057355562654129,1.0785798788328391,1.0149070223015304,1.0245543718338013,858000
1996-01-18,,,,,,1.0245543173717901,1.0245543173717901,1.0033300023212963,1.018765926361084,660000
1996-01-19,,,,,,1.0187658422445842,1.0149068845544642,0.9782467404959195,0.9859646558761597,852000
1996-01-22,,,,,,0.9859649291423443,0.9994712387987161,0.9724585274811385,0.9821059703826904,718000
1996-01-23,,,,,,0.9821052298266885,1.0033294409982614,0.968598838349971,0.9763167500495911,798000
1996-01-24,,,,,,0.9763171326873369,0.9763171326873369,0.9454454737896506,0.9512338638305664,898000
1996-01-25,,,,,,0.9512337844004249,0.9454453948428526,0.9300095666829356,0.9396569132804871,780000
1996-01-26,,,,,,0.9396569132804871,0.9396569132804871,0.9396569132804871,0.9396569132804871,0
1996-01-29,,,,,,0.939656926189691,0.9628106687476575,0.9242210978177132,0.9589517116546631,622000
1996-01-30,,,,,,0.9589517281012463,0.9840349956383,0.9589517281012463,0.9724581241607666,904000
1996-01-31,,,,,,0.9724583616705313,1.0168364258422145,0.9840352359755593,0.9994710683822632,688000
1996-02-01,,,,,,0.999471265955073,1.0805094941145075,1.0033302248195777,1.072791576385498,848000
1996-02-02,,,,,,1.0727914804177374,1.1557591345850418,1.0805093974563318,1.124887466430664,1638000
1996-02-05,,,,,,1.1248870809428004,1.1962778350872958,1.1383934771342443,1.1557587385177612,1812000
1996-02-06,,,,,,1.1557588055349313,1.176983117350816,1.138393543144482,1.1480408906936646,1776000
1996-02-07,,,,,,1.1480411496537986,1.1287463581983643,1.0901567752874959,1.1055926084518433,1172000
1996-02-08,,,,,,1.1055926126182978,1.2155730623359713,1.1133105292295566,1.1750539541244507,1334000
1996-02-09,,,,,,1.1750538661516001,1.410450489181184,1.2927521316639838,1.408521056175232,3440000
1996-02-12,,,,,,1.4085207806108306,1.464475706908609,1.3313415433710265,1.3544952869415283,5702000
1996-02-13,,,,,,1.3892261110954065,1.3892261110954065,1.2831047244450255,1.3313417434692383,2902000
1996-02-14,,,,,,1.331341946113481,1.4664055831374578,1.3853673641211413,1.4316749572753906,4928000
1996-02-15,,,,,,1.4316746704048688,1.4548284163401695,1.4162388397813352,1.4220272302627563,2382000
1996-02-16,,,,,,1.422027035816123,1.4181680786879098,1.3544952400699932,1.3737900257110596,2792000
1996-02-19,,,,,,1.3737903116092067,1.4085210249956959,1.3506365640214235,1.3564250469207764,2594000
1996-02-20,,,,,,1.3564249289231216,1.3564249289231216,1.2753867274107136,1.298540472984314,2722000
1996-02-21,,,,,,1.298540472984314,1.298540472984314,1.298540472984314,1.298540472984314,0
1996-02-22,,,,,,1.2985405086653683,1.3409890433833622,1.312046906623498,1.321694254875183,1696000
1996-02-23,,,,,,1.3216941660332346,1.3506363928524623,1.3120468184300274,1.3197647333145142,1374000
1996-02-26,,,,,,1.3197648381407394,1.3409890597564738,1.3023994822689475,1.3062584400177002,1294000
1996-02-27,,,,,,1.3081878120738812,1.3216941166143235,1.2734571043874883,1.310117244720459,1682000
1996-02-28,,,,,,1.310117483341828,1.3294122733459048,1.27538686133449,1.2831047773361206,844000
1996-02-29,,,,,,1.2734573628591965,1.2734573628591965,1.1576885284183274,1.1827718019485474,2550000
1996-03-01,,,,,,1.1827714020379652,1.2155725806400783,1.1576881369887273,1.200136661529541,1464000
1996-03-04,,,,,,1.2001370673115461,1.1962781092303443,1.176983318824336,1.1827718019485474,1294000
1996-03-05,,,,,,1.1827718019485474,1.1827718019485474,1.1827718019485474,1.1827718019485474,0
1996-03-06,,,,,,1.1827715523946907,1.215572735166568,1.1885599422927875,1.1962778568267822,720000
1996-03-07,,,,,,1.196277871223047,1.2155727497950315,1.1673357373746698,1.1808420419692993,972000
1996-03-08,,,,,,1.1808419558800611,1.184700912912161,1.1576882136874622,1.1769829988479614,774000
1996-03-11,,,,,,1.1769830491029454,1.1750536165069088,1.148040824124021,1.1557587385177612,648000
1996-03-12,,,,,,1.155759115105171,1.155759115105171,1.1306759311549206,1.140323281288147,800000
1996-03-13,,,,,,1.1403232231979363,1.1962781639366113,1.1576885813598776,1.1885602474212646,972000
1996-03-14,,,,,,1.1885602818787646,1.2155730824704272,1.175053973587758,1.1847013235092163,1058000
1996-03-15,,,,,,1.1962782014945788,1.1962782014945788,1.1576886177062988,1.1576886177062988,1614000
1996-03-18,,,,,,1.1576884163790135,1.1673358566507623,1.1306757124248497,1.1518999338150024,776000
1996-03-19,,,,,,1.1519001566509148,1.1576886403347122,1.1190990557921527,1.140323281288147,1234000
1996-03-20,,,,,,1.140323281288147,1.140323281288147,1.140323281288147,1.140323281288147,0
1996-03-21,,,,,,1.1403232554284215,1.163477097633712,1.1383938222474619,1.1596181392669678,1286000
1996-03-22,,,,,,1.1596177877194283,1.165406177512335,1.1326049953365407,1.1557587385177612,388000
1996-03-25,,,,,,1.1557587846153297,1.1769830960470478,1.1499703945915525,1.1673357486724854,826000
1996-03-26,,,,,,1.1673360375131918,1.1885602621917422,1.1499706791354478,1.1750539541244507,1286000
1996-03-27,,,,,,1.1750536378606957,1.2001368140937798,1.1692651559578005,1.1962778568267822,1590000
1996-03-28,,,,,,1.1962782195130421,1.263810130166942,1.2078551868287246,1.2387268543243408,2248000
1996-03-29,,,,,,1.2387264854879305,1.277316058367231,1.2348675282000006,1.2522327899932861,2712000
1996-04-01,,,,,,1.2522328904298379,1.273457203218169,1.2503034576335204,1.2695982456207275,1926000
1996-04-02,,,,,,1.2695986055088744,1.331342036574913,1.265739646817549,1.3120472431182861,3670000
1996-04-03,,,,,,1.3120468220416388,1.3892259710989563,1.3120468220416388,1.3467774391174316,4164000
1996-04-04,,,,,,1.3467775952043943,1.3332711965516164,1.2927520925980964,1.3139764070510864,2268000
1996-04-05,,,,,,1.3139764070510864,1.3139764070510864,1.3139764070510864,1.3139764070510864,0
1996-04-08,,,,,,1.3139763871789818,1.3390596591527275,1.3159059121022603,1.3313417434692383,1850000
1996-04-09,,,,,,1.3313417113869972,1.3352006691357499,1.2946815667714422,1.3062584400177002,2438000
1996-04-10,,,,,,1.3062584201705485,1.335200648848853,1.2503034876614036,1.2676688432693481,1808000
1996-04-11,,,,,,1.2541623969366893,1.2888930148070525,1.2541623969366893,1.2869635820388794,1262000
1996-04-12,,,,,,1.2869637556307953,1.3062585459391274,1.265739440289221,1.2927521467208862,1128000
1996-04-15,,,,,,1.315905864325134,1.3332711279800906,1.3023994663670042,1.321694254875183,1976000
1996-04-16,,,,,,1.3197651140260995,1.3255535058568362,1.296611270688665,1.302399754524231,1566000
1996-04-17,,,,,,1.3023995766352794,1.3602840390654407,1.3216943667770609,1.352566123008728,3092000
1996-04-18,,,,,,1.3699312384446036,1.4258861697441085,1.3525659752168722,1.4104503393173218,5412000
1996-04-19,,,,,,1.4278159076690835,1.553232186613869,1.3988736752964683,1.4837708473205566,12700000
1996-04-22,,,,,,1.5435846239873376,1.5821742027850958,1.4297452285267314,1.4548285007476807,11286000
1996-04-23,,,,,,1.454828707850102,1.4625466247083394,1.4008032898424418,1.4316749572753906,6428000
1996-04-24,,,,,,1.5030656382340266,1.5628796280730142,1.4664054894960235,1.4837708473205566,10686000
1996-04-25,,,,,,1.5049949578714619,1.5049949578714619,1.3930850018412269,1.4220272302627563,6666000
1996-04-26,,,,,,1.4220273121253058,1.4644759407884924,1.398873564857102,1.4278157949447632,4078000
1996-04-29,,,,,,1.4278157127489854,1.4413220185421736,1.4046619668136848,1.4220272302627563,2700000
1996-04-30,,,,,,1.422027225664597,1.4278157081321088,1.3525659880832999,1.3680018186569214,5402000
1996-05-01,,,,,,1.368001787918321,1.4567579037271288,1.3930849660344407,1.3988734483718872,3324000
1996-05-02,,,,,,1.4200979693158686,1.4200979693158686,1.368001988653708,1.3757199048995972,2340000
1996-05-03,,,,,,1.3757198746989647,1.3776493077156715,1.3467776434098286,1.350636601448059,3558000
1996-05-06,,,,,,1.3506366551764903,1.3506366551764903,1.2927521902955696,1.3043291568756104,2720000
1996-05-07,,,,,,1.3043290246635093,1.3274827714669912,1.292752059256957,1.3178353309631348,3642000
1996-05-08,,,,,,1.2348674744281227,1.3506362800297105,1.2348674744281227,1.3448477983474731,3234000
1996-05-09,,,,,,1.3448480702519345,1.3487070281520406,1.304329058303228,1.3139764070510864,2230000
1996-05-10,,,,,,1.3139763555152053,1.3101173977664529,1.250303506658382,1.3062584400177002,2742000
1996-05-13,,,,,,1.3062583362642606,1.3216941660332346,1.292751939214007,1.3197647333145142,1424000
1996-05-14,,,,,,1.344848001084998,1.344848001084998,1.3023994663670042,1.321694254875183,2384000
1996-05-15,,,,,,1.321694320007352,1.350636550198278,1.3120469712802525,1.3429186344146729,3216000
1996-05-16,,,,,,1.3429187975918535,1.4162390984500168,1.356425197856723,1.379578948020935,5342000
1996-05-17,,,,,,1.3699314085653125,1.3699314085653125,1.3409891769185824,1.3622134923934937,2770000
1996-05-20,,,,,,1.3409891123518285,1.3429186373042885,1.3120469741034402,1.3139764070510864,1866000
1996-05-21,,,,,,1.3120468520587663,1.3120468520587663,1.2831046244977278,1.2869635820388794,3288000
1996-05-22,,,,,,1.2869639203024943,1.3197651140260995,1.3004702292440993,1.302399754524231,1290000
1996-05-23,,,,,,1.3120470290340358,1.3120470290340358,1.2869637556307953,1.2927521467208862,722000
1996-05-24,,,,,,1.292752041894661,1.312046922643234,1.292752041894661,1.3062584400177002,946000
1996-05-27,,,,,,1.306258580548846,1.306258580548846,1.283104831565382,1.288893222808838,2724000
1996-05-28,,,,,,1.2888929634276725,1.3120467997564007,1.273457133878388,1.3081878423690796,2780000
1996-05-29,,,,,,1.3081878824215967,1.331341627454417,1.3101173151719296,1.3294121026992798,2628000
1996-05-30,,,,,,1.3506364272676177,1.3506364272676177,1.3023994120080598,1.3159058094024658,1608000
1996-05-31,,,,,,1.3159058980652503,1.323623813666411,1.3004699748581177,1.3178353309631348,972000
1996-06-03,,,,,,1.3178353450207263,1.350636532677961,1.3178353450207263,1.3313417434692383,1532000
1996-06-04,,,,,,1.331342036574913,1.3409893873008103,1.3023998003875563,1.3120472431182861,3396000
1996-06-05,,,,,,1.3120469741034402,1.3313417636039704,1.3081880162033341,1.3139764070510864,874000
1996-06-06,,,,,,1.3294121363904987,1.3352006187978032,1.3139763059774292,1.3255531787872314,1244000
1996-06-07,,,,,,1.3197647883847337,1.3294121363904987,1.3139763059774292,1.3255531787872314,810000
1996-06-10,,,,,,1.3371301684057257,1.3371301684057257,1.3216943366442166,1.32748281955719,1720000
1996-06-11,,,,,,1.3390594866045142,1.3390594866045142,1.3120467851930988,1.3236236572265625,2108000
1996-06-12,,,,,,1.3313415433710265,1.3680016833600535,1.3274825861092763,1.3544952869415283,3314000
1996-06-13,,,,,,1.3544955170653616,1.4972771440177952,1.3506365591479885,1.4953476190567017,14640000
1996-06-14,,,,,,1.514642452464228,1.609187062182394,1.514642452464228,1.5609500408172607,18072000
1996-06-17,,,,,,1.5628793994226193,1.5937510603676248,1.4857000630504917,1.4934179782867432,13624000
1996-06-18,,,,,,1.4857003184106357,1.5049952018224493,1.4471107355966542,1.4779824018478394,9416000
1996-06-19,,,,,,1.5185013696873175,1.524289852577702,1.4567580428822269,1.4664053916931152,6844000
1996-06-20,,,,,,1.447110734186722,1.4664055255749135,1.4278159427985302,1.4528992176055908,5962000
1996-06-21,,,,,,1.4278158632459295,1.4528991366554431,1.4104505059616788,1.4200979471206665,4728000
1996-06-24,,,,,,1.4316746488671424,1.4316746488671424,1.3892260232862024,1.4123798608779907,3862000
1996-06-25,,,,,,1.4181681989361699,1.420097723666281,1.3930849294735441,1.4046618938446045,8000000
1996-06-26,,,,,,1.4857003961881363,1.5532323076551833,1.4857003961881363,1.5107836723327637,28122000
1996-06-27,,,,,,1.5088540824306997,1.5223603897179012,1.4683349765594598,1.5165719985961914,15964000
1996-06-28,,,,,,1.5281490243007176,1.5628797424924423,1.5088542319746636,1.53972589969635,29918000
1996-07-01,,,,,,1.5474435841894116,1.5532319746712009,1.49534751782446,1.5069243907928467,22668000
1996-07-02,,,,,,1.5146422199816274,1.535866531885913,1.4953474327980965,1.5030653476715088,12078000
1996-07-03,,,,,,1.495347447764685,1.5049948874554109,1.4779820931232999,1.4876295328140259,15710000
1996-07-04,,,,,,1.4779821812583536,1.5088539349067391,1.4567579598807994,1.4895590543746948,18954000
1996-07-05,,,,,,1.4876295328140259,1.5088538449307405,1.4857000080739593,1.4876295328140259,6138000
1996-07-08,,,,,,1.5165719336046608,1.5165719336046608,1.4876297032219554,1.4953476190567017,3854000
1996-07-09,,,,,,1.4953477564967352,1.497277281635175,1.4741234399980119,1.4799119234085083,6828000
1996-07-10,,,,,,1.470264485285043,1.4857003184106357,1.4567581773025609,1.4779824018478394,7834000
1996-07-11,,,,,,1.4760529687095516,1.4914888018351444,1.4760529687095516,1.4779824018478394,2592000
1996-07-12,,,,,,1.472193925699258,1.48184127484511,1.4586875264892842,1.4741233587265015,2400000
1996-07-15,,,,,,1.470264485285043,1.4837708852723481,1.4567581773025609,1.4779824018478394,5116000
1996-07-16,,,,,,1.4760525894147625,1.4953473758636564,1.4548282783185797,1.468334674835205,6754000
1996-07-17,,,,,,1.4644759414495268,1.466405374387008,1.3969440405462303,1.4548285007476807,11164000
1996-07-18,,,,,,1.4471102090516568,1.4644755610018094,1.4297448571015043,1.4432512521743774,4170000
1996-07-19,,,,,,1.4471104999732731,1.4567579401083512,1.4278157117079242,1.4509694576263428,4696000
1996-07-22,,,,,,1.4760525196025884,1.4760525196025884,1.4316744668666614,1.4471102952957153,1726000
1996-07-23,,,,,,1.4490401785928118,1.4490401785928118,1.4104505059616788,1.4200979471206665,7390000
1996-07-24,,,,,,1.412379849078388,1.412379849078388,1.3409889961077461,1.3969439268112183,12120000
1996-07-25,,,,,,1.3892262829984963,1.4085211665995834,1.381508366359991,1.393085241317749,5084000
1996-07-26,,,,,,1.381508207755908,1.4162389206467454,1.375719816943977,1.4008030891418457,13278000
1996-07-29,,,,,,1.408520891512797,1.483770610044224,1.3950144940308258,1.3969439268112183,8280000
1996-07-30,,,,,,1.3892261954460903,1.3892261954460903,1.2695984030836673,1.3641430139541626,24798000
