,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-01-29,3564.4311359857325,3582.4370565517297,3545.7218573588943,3564.61865234375,1646747,704.7468902265479,717.106241232974,700.6161341297043,703.5242309570312,1332561,410.4091679616553,411.62445333286826,402.8473289174317,404.9178161621094,18557346,596.8071461540897,606.9306922520184,593.5290219741044,600.6155395507812,19572140
2024-01-30,3570.6673355072853,3608.5080891700763,3551.4891523141855,3564.196533203125,1411621,707.1427262236391,733.6293993164721,706.2008925955477,722.9884643554688,2263062,402.3971972082923,408.42863094204745,393.75510841111077,394.3402404785156,45190319,603.0259172029118,610.7872908979857,601.8207331245812,604.279296875,16966577
2024-01-31,3574.184071078628,3595.566200692752,3560.351363342525,3578.638671875,2459358,730.0604038396173,774.2268636452964,722.0631382150684,767.8654174804688,3281166,396.09571690170395,398.3462602614209,394.92542408366904,397.4910583496094,20648695,603.9418631812425,620.1395252720102,599.6995917267393,617.5363159179688,23270745
2024-02-01,3582.436989907515,3662.057029330496,3568.4167652804376,3614.463134765625,2363107,774.1773473546807,828.8029736894167,773.285071145628,823.9947509765625,7848948,397.89611814582366,403.0723501713392,395.46551903791453,398.706298828125,19903526,619.7056475917949,629.5399613532924,610.5462486775638,624.4299926757812,26587707
2024-02-02,3634.063444426215,3736.612908383376,3631.2030759637855,3719.638671875,2826510,829.4639458059595,832.2398289133168,805.3565733942612,814.5930786132812,3057792,400.5967720892722,402.5772455250547,395.64558849981586,396.1856994628906,17816750,628.623998836513,636.8674459475857,623.5140302472481,626.3582763671875,27471811
2024-02-05,3735.2998425709893,3771.874458152277,3715.6996914451147,3726.203125,1691523,819.5500265998003,858.8586488685031,819.5500265998003,846.3341064453125,4634430,397.89611107625,399.3814660761637,392.9899203450033,394.3402404785156,12505666,623.8996743944258,631.3236201370446,615.8490682349207,619.8984985351562,28339525
2024-02-06,3748.4297014896824,3891.8208786976347,3741.8650260054624,3878.785400390625,4474396,845.6566168194541,845.6566168194541,786.6358074728184,816.030517578125,4928013,396.09568709314567,396.9058678058098,386.6433885753726,388.35382080078125,19487043,621.3447251345781,631.5164671490533,614.8367310074694,626.936767578125,14079390
2024-02-07,3894.7275215618497,3896.6031428098927,3820.593545941405,3829.455810546875,2124267,822.8546623607826,839.3613493698575,803.9356345707859,826.754150390625,2395305,391.5945940811647,391.5945940811647,387.8136747380817,388.7138977050781,13376903,631.5646198105808,653.6436145166939,631.5164242193285,651.0404052734375,41696232
