,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
1996-01-01,,,,,,2.70957368525466,2.7339842655298314,2.70143714751376,2.7258472442626953,1023454.0
1996-01-02,,,,,,2.668889625545234,2.7177110337368395,2.5820964139209583,2.6227807998657227,7757692.0
1996-01-03,,,,,,2.5061520220325613,2.5652800278411325,2.4904209794600782,2.5386998653411865,15744376.0
1996-01-04,,,,,,2.5386999113912543,2.60325235745293,2.5115765066728035,2.586435556411743,12874964.0
1996-01-05,,,,,,2.58643503757036,2.5766711940618485,2.533274722270192,2.5397841930389404,5201392.0
1996-01-08,,,,,,2.5397840502339912,2.557684670756168,2.4464813993650023,2.461669921875,13131996.0
1996-01-09,,,,,,2.461670088672175,2.494217442891206,2.432919865337929,2.455160617828369,9313903.0
1996-01-10,,,,,,2.455161121837755,2.4953029878299806,2.4302085077920323,2.4470245838165283,3103076.0
1996-01-11,,,,,,2.4470244898128217,2.462213015886471,2.4356328534944676,2.46004319190979,2313287.0
1996-01-12,,,,,,2.460042862799786,2.506151676576495,2.4519063261796528,2.4844534397125244,4991093.0
1996-01-15,,,,,,2.4844539859384454,2.4953031067556917,2.4546187223686644,2.457873821258545,2098315.0
1996-01-16,,,,,,2.4578732627305495,2.474146819376841,2.4410571897258926,2.4502787590026855,3201216.0
1996-01-17,,,,,,2.4502786346474825,2.462755059678187,2.442142098500361,2.4497361183166504,3196543.0
1996-01-18,,,,,,2.4497360239150394,2.4399719391516856,2.386810901329389,2.419358253479004,5346264.0
1996-01-19,,,,,,2.419358908904947,2.424783831710802,2.259334202828255,2.3146650791168213,16749137.0
1996-01-22,,,,,,2.314664190293654,2.331480259895168,2.2680128699400255,2.2983899116516113,4098491.0
1996-01-23,,,,,,2.2983897446667956,2.317918394092364,2.137280079246968,2.156266212463379,8253062.0
1996-01-24,,,,,,2.1562668630533848,2.18610212063979,2.026077439355546,2.0629642009735107,16370599.0
1996-01-25,,,,,,2.062964327400731,2.061337261708656,2.0233649814917163,2.041808605194092,8454015.0
1996-01-26,,,,,,2.041808605194092,2.041808605194092,2.041808605194092,2.041808605194092,0.0
1996-01-29,,,,,,2.0418078640078234,2.1996631574617505,2.0347558785778146,2.156266212463379,10010226.0
1996-01-30,,,,,,2.156266957737828,2.3537216509726404,2.1676585932523826,2.2907965183258057,16272460.0
1996-01-31,,,,,,2.2907960443408517,2.270182359637364,2.1774222290499705,2.205087900161743,9968167.0
1996-02-01,,,,,,2.2050880975880722,2.3759618849605726,2.207800195726883,2.342329740524292,13057223.0
1996-02-02,,,,,,2.3862691163984224,2.658040375874122,2.365113633220955,2.610846519470215,29264257.0
1996-02-05,,,,,,2.610846746576176,2.8750232818908326,2.6146443622399422,2.744291305541992,19599855.0
1996-02-06,,,,,,2.7990788914705758,2.8202346123514275,2.642308825114167,2.7182528972625732,14655495.0
1996-02-07,,,,,,2.6797381419687185,2.733983977651943,2.604879101477391,2.6781110763549805,14505949.0
1996-02-08,,,,,,2.7122851668521237,2.9596457481384277,2.6797375756157695,2.9596457481384277,22801072.0
1996-02-09,,,,,,2.9596465711267466,3.1229258801616715,2.9629009443344585,3.057288646697998,12650646.0
1996-02-12,,,,,,3.097430298757045,3.097430298757045,2.92926859519511,2.961273193359375,14991973.0
1996-02-13,,,,,,2.9612730104007885,3.0703069494951483,2.9292684142138876,3.031792640686035,12169295.0
1996-02-14,,,,,,3.0811563945856792,3.2167704848095,3.0811563945856792,3.1261801719665527,9968167.0
1996-02-15,,,,,,3.126181339096036,3.243894368872927,3.0920066665037633,3.1571011543273926,17576313.0
1996-02-16,,,,,,3.081156894192348,3.167950090407912,3.0052128172833417,3.063255786895752,13356315.0
1996-02-19,,,,,,3.063798054609883,3.119128437700544,3.059457923713345,3.0621705055236816,6140727.0
1996-02-20,,,,,,3.092005973555123,3.092005973555123,2.864173745771332,2.9276411533355713,10201832.0
1996-02-21,,,,,,2.9276411533355713,2.9276411533355713,2.9276411533355713,2.9276411533355713,0.0
1996-02-22,,,,,,2.92764190878859,3.0372184032892036,2.9916518492691444,2.999246597290039,3355435.0
1996-02-23,,,,,,2.999246060410235,3.00521301598259,2.9195048469123646,2.9607317447662354,3290009.0
1996-02-26,,,,,,2.9607317078196753,3.037760096383328,2.9303539303687662,2.967783212661743,4392909.0
1996-02-27,,,,,,2.967782990332732,2.999788072928502,2.9401177971303594,2.958561420440674,4603208.0
1996-02-28,,,,,,2.9585608754110764,3.036132002071628,2.9292681384213606,2.941744804382324,3341415.0
1996-02-29,,,,,,2.9417454156578917,2.929268747104357,2.712828393355829,2.7562248706817627,8482054.0
1996-03-01,,,,,,2.7562245529299116,2.831626104913368,2.7356113494580425,2.8034183979034424,7145488.0
1996-03-04,,,,,,2.8034188780733653,2.847900148941622,2.7773807484566966,2.8148105144500732,6318313.0
1996-03-05,,,,,,2.8148105144500732,2.8148105144500732,2.8148105144500732,2.8148105144500732,0.0
1996-03-06,,,,,,2.814810006791747,2.8218619939210194,2.7556820115842995,2.8115549087524414,4112511.0
1996-03-07,,,,,,2.811555113266762,2.8424754039693587,2.761649166917933,2.7762959003448486,4621902.0
1996-03-08,,,,,,2.7762960561686585,2.744833247320817,2.690587408655672,2.7356116771698,5682743.0
1996-03-11,,,,,,2.7356110864712857,2.7215068716776094,2.636883758783036,2.660752058029175,4832200.0
1996-03-12,,,,,,2.660752901525068,2.658040319201883,2.571789630086679,2.583723783493042,4276077.0
1996-03-13,,,,,,2.5837234002669724,2.799078953762008,2.594030002750716,2.788771867752075,9285863.0
1996-03-14,,,,,,2.799079467703855,2.864174192863442,2.7453761381248416,2.770329236984253,13019837.0
1996-03-15,,,,,,2.7703290019920233,2.788229626807002,2.72855982978356,2.737238883972168,14347057.0
1996-03-18,,,,,,2.592944935906625,2.6233227101006595,2.5224257850734806,2.5457515716552734,17903444.0
1996-03-19,,,,,,2.51700127853465,2.592944865795463,2.4432265479078947,2.4844534397125244,16001408.0
1996-03-20,,,,,,2.4844534397125244,2.4844534397125244,2.4844534397125244,2.4844534397125244,0.0
1996-03-21,,,,,,2.506151840800481,2.60921907706588,2.506151840800481,2.5544307231903076,11290713.0
1996-03-22,,,,,,2.5544314562935915,2.5387004103440014,2.3434157262001287,2.409595251083374,22702932.0
1996-03-25,,,,,,2.3325655597375277,2.3325655597375277,2.180677432614649,2.246856927871704,57836865.0
1996-03-26,,,,,,2.2050883137237576,2.3759621178447605,2.202918248179092,2.319546699523926,36035881.0
1996-03-27,,,,,,2.300018857735901,2.3786755416225116,2.300018857735901,2.352094888687134,27810858.0
1996-03-28,,,,,,2.40905213245875,2.4844536946196283,2.408509616040717,2.4752321243286133,34297411.0
1996-03-29,,,,,,2.484452817225934,2.5061510486533525,2.39874468220612,2.4291224479675293,24044172.0
1996-04-01,,,,,,2.428580305511417,2.4844531995953734,2.428580305511417,2.462754964828491,12599239.0
1996-04-02,,,,,,2.4627550783451926,2.592944734710429,2.457330640284972,2.5490057468414307,34236658.0
1996-04-03,,,,,,2.5490057332075313,2.647190551732008,2.5294770793585872,2.5479209423065186,16870643.0
1996-04-04,,,,,,2.5175429400565807,2.62006763808434,2.4958447063928983,2.613015651702881,44302964.0
1996-04-05,,,,,,2.613015651702881,2.613015651702881,2.613015651702881,2.613015651702881,0.0
1996-04-08,,,,,,2.66237933520247,2.7524273764248153,2.636341452240233,2.7339837551116943,50901676.0
1996-04-09,,,,,,2.733984034452009,2.8478999049324982,2.7242199482250773,2.7817203998565674,50196006.0
1996-04-10,,,,,,2.7475456875838087,2.7963666013947073,2.6694315485497095,2.700894355773926,44008546.0
1996-04-11,,,,,,2.658040131007074,2.70197888450598,2.639596506620305,2.6770262718200684,34788108.0
1996-04-12,,,,,,2.6694310567297093,2.7041482305591034,2.65912445618987,2.698723793029785,19151218.0
1996-04-15,,,,,,2.698723938067787,2.7502571852995925,2.6905869186919267,2.7014365196228027,23558148.0
1996-04-16,,,,,,2.701437272382972,2.808843443737399,2.7008947559207956,2.759479522705078,35619957.0
1996-04-17,,,,,,2.841390950275675,2.911910599306608,2.821320257780415,2.895636796951294,34923634.0
1996-04-18,,,,,,2.9921936279922963,3.0377599290134407,2.962900885025723,2.9856841564178467,39381970.0
1996-04-19,,,,,,2.985684341191523,3.0258262059330865,2.956391596412123,2.9699532985687256,27338854.0
1996-04-22,,,,,,2.9726642219344948,2.981343756941612,2.875021931175618,2.8967206478118896,36405073.0
1996-04-23,,,,,,2.858749333832664,2.9666982610004964,2.853324894621488,2.9422879219055176,36306933.0
1996-04-24,,,,,,2.9422872661235537,3.0703068557789512,3.01063682893975,3.0562033653259277,24586276.0
1996-04-25,,,,,,3.059458068863706,3.059458068863706,2.885872165813487,2.9222166538238525,24581602.0
1996-04-26,,,,,,2.950967157312601,3.0269112388108623,2.918962313864999,2.9699532985687256,21352346.0
1996-04-29,,,,,,2.969952753914717,2.9997877678984994,2.8978055754302487,2.9851412773132324,17875405.0
1996-04-30,,,,,,2.9851410684019166,2.9889386825119235,2.9292681751941743,2.955305814743042,13893746.0
1996-05-01,,,,,,2.9553061495023174,3.016061696304948,2.9672403006703076,2.9970755577087402,6164093.0
1996-05-02,,,,,,2.997075900180998,3.0041278884150375,2.931981423852465,2.995448350906372,19912967.0
1996-05-03,,,,,,2.984598943792987,3.032335307559395,2.9580187844543655,2.9694104194641113,25343351.0
1996-05-06,,,,,,2.923843176621632,2.929267855517807,2.844644750489124,2.851696252822876,21221493.0
1996-05-07,,,,,,2.8516968421416977,2.885871987781837,2.8229466182818546,2.862546443939209,10220525.0
1996-05-08,,,,,,2.862546489139819,2.926555925306883,2.739951088093137,2.898890733718872,29797014.0
1996-05-09,,,,,,2.8695981723487423,2.9059429027249633,2.8381358477806513,2.850069999694824,15244332.0
1996-05-10,,,,,,2.850069466637218,2.884786641329765,2.788771411103817,2.8663430213928223,20875669.0
1996-05-13,,,,,,2.929268678027733,3.032335430127907,2.908112956271001,3.001957654953003,32811298.0
1996-05-14,,,,,,2.9943635630712295,3.1896481853172824,2.9862265426355816,3.1598129272460938,68622862.0
1996-05-15,,,,,,3.1462510312686036,3.1571001494130946,3.0138915481427344,3.1310625076293945,52242915.0
1996-05-16,,,,,,3.1571013523032687,3.2108046889023676,3.119129545211415,3.1424553394317627,34465650.0
1996-05-17,,,,,,3.14245413665098,3.14245413665098,3.082241107968496,3.0979726314544678,22329068.0
1996-05-20,,,,,,3.01606178477769,3.0323353420368515,2.930353625688418,2.9395751953125,19151218.0
1996-05-21,,,,,,2.90757073532576,2.955849138795806,2.859291848329466,2.8864145278930664,37293001.0
1996-05-22,,,,,,2.9281834804078555,2.9835143472236547,2.9281834804078555,2.9433724880218506,21702844.0
1996-05-23,,,,,,2.961815603098487,2.9775473687138665,2.904857671171979,2.919504404067993,21693498.0
1996-05-24,,,,,,2.9401170966913983,2.982428771888226,2.9292679802002937,2.9596457481384277,22544040.0
1996-05-27,,,,,,2.9401174417988436,2.9493390105764177,2.875022251685339,2.8826169967651367,22973984.0
1996-05-28,,,,,,2.842475533727883,2.905400425475004,2.821319811598506,2.8750226497650146,27838898.0
1996-05-29,,,,,,2.9401181620987704,3.043184926993972,2.931981623985816,3.0035855770111084,19936334.0
1996-05-30,,,,,,3.00358480351855,3.0350476072860597,2.95584844418969,2.966155529022217,16636978.0
1996-05-31,,,,,,2.966156454987884,2.98351504861258,2.956391883429279,2.9742929935455322,6963229.0
1996-06-03,,,,,,2.983514285040107,3.0806140745998025,2.983514285040107,3.0681374073028564,19955027.0
1996-06-04,,,,,,3.0811568329476215,3.1077369933980203,2.994363638457262,3.0133492946624756,17454807.0
1996-06-05,,,,,,3.0214862983994997,3.02636846240387,2.9726649001188945,3.0122647285461426,11781410.0
1996-06-06,,,,,,3.064883405253828,3.1299783745943333,3.059458723740807,3.103940725326538,30194246.0
1996-06-07,,,,,,3.0816993034433726,3.1950726566955208,3.0816993034433726,3.1847660541534424,76128195.0
1996-06-10,,,,,,3.2086334635791154,3.2086334635791154,3.1522180523634495,3.1798832416534424,35358252.0
1996-06-11,,,,,,3.1543877959687423,3.2954265621983545,3.1543877959687423,3.2487757205963135,63178457.0
1996-06-12,,,,,,3.3035647961064933,3.3729994139054873,3.298140114597119,3.3377394676208496,62164349.0
1996-06-13,,,,,,3.3279738036589253,3.4093425371945667,3.3279738036589253,3.3990354537963867,99490064.0
1996-06-14,,,,,,3.4115121040739615,3.5612301476366857,3.4115121040739615,3.547668933868408,186521088.0
1996-06-17,,,,,,3.523260849992342,3.5476714388320856,3.3523869698773385,3.3762545585632324,186740734.0
1996-06-18,,,,,,3.3415349729108677,3.417479026492533,3.074103961945742,3.3203792572021484,256344991.0
1996-06-19,,,,,,3.2438934433930497,3.2547425618956036,3.12672296356547,3.1511332988739014,165766925.0
1996-06-20,,,,,,3.1093654464781935,3.30085251453888,3.1093654464781935,3.2655932903289795,163065753.0
1996-06-21,,,,,,3.233044252857426,3.379507953786367,3.233044252857426,3.329601526260376,290735868.0
1996-06-24,,,,,,3.363234275626563,3.5151219257843556,3.363234275626563,3.4923386573791504,339212097.0
1996-06-25,,,,,,3.5259711068969537,3.580216938975084,3.4315836588672215,3.4657585620880127,440529425.0
1996-06-26,,,,,,3.460876811162757,3.477150611079153,3.3876448324205266,3.404460906982422,210677420.0
1996-06-27,,,,,,3.3849330069441965,3.450028211860587,3.352385888012251,3.43049955368042,236759155.0
1996-06-28,,,,,,3.450027548784353,3.4690132033369667,3.3892720036375183,3.4028334617614746,136203576.0
1996-07-01,,,,,,3.3751674899214263,3.390356251811946,3.299223438705805,3.3220067024230957,188577344.0
1996-07-02,,,,,,3.319837127100318,3.349672380821545,3.258539796039349,3.2796952724456787,198339886.0
1996-07-03,,,,,,3.287290457322073,3.287290457322073,3.2004972660496422,3.2433509826660156,221472763.0
1996-07-04,,,,,,3.2167704985545478,3.2867476092380077,3.169034139379023,3.2357566356658936,211962580.0
1996-07-05,,,,,,3.273728825470412,3.3578099201577913,3.260709641007658,3.3263471126556396,312719111.0
1996-07-08,,,,,,3.39141024310669,3.55608398578226,3.3317772761713345,3.353660821914673,134044507.0
1996-07-09,,,,,,3.328494927761186,3.352566584696089,3.174215317848802,3.2967634201049805,131562980.0
1996-07-10,,,,,,3.3919572483900957,3.4028987769684296,3.3164586530460967,3.3793740272521973,197419244.0
1996-07-11,,,,,,3.3897694457946863,3.4794924882421183,3.3897694457946863,3.4455723762512207,277622564.0
1996-07-12,,,,,,3.435724338863242,3.4740209107537012,3.413840792492535,3.4318947792053223,202494457.0
1996-07-15,,,,,,3.4149349280846453,3.4466659468877436,3.387032981100352,3.433535575866699,168650357.0
1996-07-16,,,,,,3.4466662245661275,3.4565141864961575,3.375544330797811,3.3935983180999756,136273675.0
1996-07-17,,,,,,3.4165769345850805,3.457608777489517,3.3979762811116974,3.4302544593811035,149877676.0
1996-07-18,,,,,,3.4439310220050006,3.506846403804262,3.434630209552542,3.4652674198150635,190675660.0
1996-07-19,,,,,,3.478945780620683,3.4959054730294894,3.419312794646479,3.4390082359313965,88381610.0
1996-07-22,,,,,,3.4023530122237426,3.5002818471428387,3.3602268695480717,3.4308016300201416,114552137.0
1996-07-23,,,,,,3.4548725427491744,3.4740208282395986,3.4028989384823487,3.418217420578003,132189204.0
1996-07-24,,,,,,3.4111055445806118,3.430253831964817,3.3137236339988996,3.373903512954712,216785434.0
1996-07-25,,,,,,3.3646017177983985,3.402351375714388,3.3591309543059715,3.367337465286255,84306485.0
