,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-07-04,868.1404005851939,868.1404005851939,850.9231133709549,852.0578002929688,45848658,392.0290086178741,393.3965455899561,389.339500939741,391.16290283203125,9478861
2024-07-05,831.2638253093144,831.2638253093144,810.1492067263514,813.0598754882812,82242548,391.1172932126966,395.67576888063064,389.84091771413347,395.356689453125,13427543
2024-07-08,811.678583484828,816.4391857049037,802.7246020410699,806.7698974609375,39087800,396.72422041086423,405.29414529158566,395.3566835098957,404.42803955078125,21311436
2024-07-09,801.6639054458949,812.3691778178521,799.369901303005,807.3372192382812,48550878,408.07479488064865,414.8213465379182,404.79269491641344,412.6332702636719,27489709
2024-07-10,804.1059188594888,809.0639261539534,799.5672916548901,802.2066040039062,45507182,413.6361603295421,415.1404827339749,407.0719599600082,411.5848693847656,12065662
2024-07-11,801.1458762280633,802.0832183690328,789.8239394111588,800.1345825195312,44177074,410.26287723172686,418.9239921454672,409.0776632126487,418.1490478515625,19556596
2024-07-12,800.1839277769812,808.2745787950348,794.8312914757237,800.5292358398438,56049960,418.1490888232711,422.34289011600674,415.59633769775616,418.5137634277344,19693114
2024-07-15,800.9239527377698,804.031966294815,796.8292758573642,800.2332763671875,33375694,418.5137615167691,425.2603139042144,416.82711619633983,422.4796447753906,16876907
2024-07-16,799.5673062806881,802.6506292263948,797.6186702674619,799.073974609375,28950324,422.5251950379047,425.5338109620082,420.6562269340028,424.43975830078125,13497253
2024-07-18,793.2772787604164,801.1458943462288,788.9113057816174,796.6319580078125,33717064,422.1149345797316,429.31732238979913,421.7958262702707,428.7247009277344,21907158
2024-07-19,797.2239682199486,800.6772898644657,791.0573224261681,792.9320068359375,26002152,429.4085144147223,437.06676765638366,427.94978712828953,432.64501953125,25939326
2024-07-22,797.7172520784763,814.4905276323838,795.5712715150735,810.3218994140625,53744822,432.6905848326919,437.11230375842484,424.71325270358847,425.3514404296875,18762384
2024-07-23,812.7885887086006,812.9119216218081,791.7973027922226,798.407958984375,52002152,425.3514491191427,453.4772470105013,425.21469253973703,448.7364196777344,56125835
2024-07-24,793.3513220807449,799.6906218755655,783.4353677463822,791.3286743164062,61728206,452.2008718247006,465.55721919731405,447.3233168036432,450.4230651855469,43693692
