,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-03-17,841.1304307424771,850.5037317302232,841.1304307424771,843.79443359375,18950652,1247.4248742515454,1264.1953748180651,1245.1424367918191,1259.2833251953125,11164812,1319.039765326631,1337.4483802749353,1296.2450814778401,1316.6307373046875,8727396
2025-03-18,843.79443359375,843.79443359375,843.79443359375,843.79443359375,0,1259.2833251953125,1259.2833251953125,1259.2833251953125,1259.2833251953125,0,1316.6307373046875,1316.6307373046875,1316.6307373046875,1316.6307373046875,0
2025-03-19,855.930432694155,863.823739278078,854.5490799535085,860.4197387695312,15221406,1295.6029599370165,1308.2057883620175,1292.1794251380722,1303.0455322265625,11278014,1383.6361433502216,1466.4583041645683,1380.8116774233788,1459.5467529296875,15512586
2025-03-20,865.3037412350927,875.1703745445009,862.985106495842,872.5803833007812,17833978,1309.8927772461004,1314.1102350516276,1301.0113557334153,1311.5797119140625,10886735,1473.3531020678597,1512.8950144028624,1447.1025213470582,1488.0068359375,16108614
2025-03-21,866.0684175252852,875.2196836615442,866.0684175252852,873.3696899414062,33508264,1305.923445707521,1338.6707661545943,1301.5571120874529,1332.81591796875,60494318,1491.6288085947901,1611.5837253006478,1480.3642878247715,1588.24072265625,21103122
2025-03-24,877.6369838460287,890.1676194932312,874.997671627427,887.9969482421875,17393736,1345.5675050388625,1362.4870024308004,1334.7510627437973,1347.750732421875,9352280,1608.2610044168998,1631.1554712916468,1535.7230615948395,1546.8048095703125,17437431
2025-03-25,890.4143157035983,909.5555477752322,888.7369760332164,898.5789184570312,39101416,1348.5941513991709,1353.3574463042776,1319.8658696966822,1333.4112548828125,16419207,1556.4244707577113,1587.426666603423,1533.7625471606825,1545.675048828125,12418947
2025-03-26,900.3302775382388,901.5636066855513,888.9836493829623,891.2283325195312,24478442,1333.7586400786652,1347.6017762925185,1321.304687138062,1325.6710205078125,10859639,1551.772372545354,1557.4213039957854,1479.6665406837594,1486.8770751953125,8879835
2025-03-27,887.9969842041877,908.2235821777275,887.0596420099644,900.5029296875,41658100,1322.9420827344788,1341.1515523929718,1322.9420827344788,1326.415283203125,15109614,1545.1268188199601,1573.3711130594893,1521.2687153711604,1556.540771484375,20801976
2025-03-28,902.3036249715724,905.7569466636451,890.8829847599874,901.908935546875,28773648,1325.7702231722565,1347.5521031600986,1317.0375564815454,1338.025634765625,8266544,1661.426544350932,1838.999906983224,1661.426544350932,1820.8570556640625,56319333
2025-04-01,888.9836405685396,892.8809726796349,870.9030234039785,872.1363525390625,28511006,1329.739654923708,1341.995067068455,1305.328040709696,1308.3546142578125,14288024,1842.1898620806462,1852.656849933377,1804.30933461362,1816.2716064453125,13947345
2025-04-02,873.5423260418547,887.602278026219,873.5423260418547,886.4676513671875,11573564,1312.026343402594,1327.705290380845,1312.026343402594,1321.056640625,8042214,1817.2683826257924,1887.3806244558457,1804.3092553772267,1879.0235595703125,14559132
2025-04-03,878.6729886492828,889.9702954640933,876.6503409310941,885.456298828125,11250038,1311.8278468858045,1322.7932860458366,1311.1332552048473,1319.3697509765625,4591008,1852.8228827038727,1923.0015658277237,1848.0048267429668,1867.7259521484375,13500360
2025-04-04,894.4102660639704,908.6921929973271,893.4729239008652,896.5316162109375,33540454,1319.3697112264526,1328.3007984100484,1311.9766830431024,1325.07568359375,8648542,1868.5898388191633,1880.6186729475473,1815.2082748059147,1833.36767578125,11404995
2025-04-07,869.6450067324856,878.0562747489253,857.5090006629878,867.1289672851562,37995450,1285.3322768617725,1314.854481252151,1255.3139009690346,1277.6912841796875,19185012,1661.4432325229084,1744.4979321336198,1654.2325761706127,1722.052001953125,12643101
2025-04-08,870.730371547347,879.1170096868965,863.4784203033727,872.7777099609375,35563872,1289.8969896705237,1300.0189606799747,1277.4927025037578,1289.9466552734375,13085762,1794.340757488373,1847.1242327632144,1778.5738350201268,1840.2625732421875,10422066
2025-04-09,870.7303466796875,875.6636630914704,865.0570328061372,870.7303466796875,22454608,1294.9579703581671,1295.106846037701,1274.6646041339118,1290.83984375,13005622,1827.6357883491708,1864.1206930850824,1796.866134477029,1843.63525390625,9485910
2025-04-11,875.540352413462,897.567622795633,875.540352413462,891.3269653320312,32775766,1295.1067945023049,1314.8544439632922,1295.1067945023049,1301.606689453125,13064247,1893.1623516429372,1902.0011736136614,1854.8166175635188,1875.6676025390625,7930965
2025-04-15,920.0634812745557,925.8848185421238,915.1301650210728,920.01416015625,49298344,1340.655373037739,1343.9301533432258,1325.9686484021752,1339.8614501953125,15202603,1910.972918645853,1985.4047914512103,1901.0043588198444,1979.7559814453125,7914093
2025-04-16,929.3381542000717,929.3381542000717,917.8435030643678,926.476806640625,19136820,1346.6094196449503,1349.2886972283168,1332.6174078978706,1346.0140380859375,14039073,1989.3922038348342,1993.047423540836,1947.1920486073489,1970.6181640625,6664080
2025-04-17,928.4501090482869,947.0486870380013,925.8354273732423,940.6353759765625,35703084,1351.5711498907554,1398.112060263163,1349.6856739861041,1395.9288330078125,17490424,1963.4739839002964,2007.003443465089,1949.0195719754163,1970.7843017578125,7753470
2025-04-21,949.170085798879,962.3420166432835,942.2634427629204,950.6994018554688,34247298,1425.004587897116,1425.004587897116,1393.9442026732427,1399.0052490234375,16882426,1987.398547695147,2097.7172383320076,1983.7434495730163,2088.413330078125,12255681
2025-04-22,954.5967457498784,972.1593405008402,954.5967457498784,967.7686767578125,45961750,1401.9823098324273,1407.9363681338637,1388.1887172069748,1405.6539306640625,16135274,2109.3471253717557,2129.2842437590125,2068.4760326778796,2073.958740234375,10094400
2025-04-23,976.2540297557508,976.2540297557508,947.4434488933124,949.1207885742188,30570642,1418.0581618237188,1418.9512947601793,1400.4937389943566,1413.493408203125,13990764,2093.0654201194407,2146.230992946387,2068.476224042616,2139.585205078125,11014368
2025-04-24,942.2634238174406,949.1207455952106,939.8460867592294,945.6181030273438,25931754,1405.4554343163697,1410.3178180904442,1388.0894318786184,1391.95947265625,15678099,2143.2404121368963,2181.120940351409,2133.271852080446,2157.69482421875,8304210
2025-04-25,949.5647662059754,953.6100615716746,933.2848220611925,942.8554077148438,18500878,1399.2035920369979,1403.966886762009,1377.769008045682,1394.04345703125,11705093,2168.1616624134263,2191.421553146391,2051.031089846264,2094.560546875,12844959
2025-04-28,942.8554253066497,951.982060830828,941.4741328194633,947.29541015625,13920492,1394.8373106964493,1424.0122194189871,1393.0511659597357,1417.8597412109375,10948561,2093.3975592930324,2192.252525161773,2084.0936512649664,2181.287109375,8723934
2025-04-29,946.6048254524144,951.5381421157663,937.4288082816594,941.6715087890625,18918308,1417.8597077945897,1427.2869661678633,1411.7071085959242,1418.85205078125,10786910,2193.4152476946583,2262.1983067865435,2180.2901402132507,2206.872802734375,11040702
2025-04-30,943.7434115323153,955.5340495753018,942.4114402150566,949.6633911132812,31936870,1422.0275444346203,1422.7221360927958,1389.2802248488963,1416.073486328125,14192027,2216.3430141862846,2216.3430141862846,2100.873946042198,2113.00244140625,7386837
2025-05-02,952.0314262519853,958.0007270723939,947.1967520748111,948.1340942382812,17840404,1415.9742091510598,1435.5233172200462,1413.6917718641512,1419.149658203125,8842434,2113.6667781262536,2162.8451663093983,2088.7453798486567,2099.04638671875,6750618
2025-05-05,956.5700467268101,962.9833580251333,953.2647488384409,955.4847412109375,15068024,1428.9738894731652,1435.7218701832576,1415.081087769954,1418.455078125,4565705,2110.011790870186,2152.3781677194133,2083.4288850561315,2144.4033203125,6594636
2025-05-06,952.1300492793257,957.112686715781,949.3180830668039,952.9686889648438,17490156,1418.0581160771362,1422.7220796211836,1409.5239906903596,1420.63818359375,6301690,2151.5472846375105,2169.6569150180726,2066.8145312368506,2075.121826171875,7534017
2025-05-07,954.1033540161453,961.3553047488027,948.3807192627594,959.8259887695312,21420778,1414.0887881642996,1430.9586193213472,1410.119416127347,1424.4091796875,10480453,2116.6573927899494,2275.323713128435,2110.8424808540904,2210.528076171875,32617395
