,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
1996-02-13,2.9612730104007885,3.0703069494951483,2.9292684142138876,3.031792640686035,12169295.0,,,,,,0.563110005277674,0.574841320514679,0.563110005277674,0.574841320514679,2048000
1996-02-14,3.0811559246160107,3.2167699941545753,3.0811559246160107,3.1261796951293945,9968167.0,,,,,,0.5748412030748387,0.6012367643702067,0.5713213724436838,0.5965445041656494,972800
1996-02-15,3.1261808669288955,3.2438938789268352,3.092006199498242,3.1571006774902344,17576313.0,,,,,,0.5965445323316467,0.6041698001141218,0.5748412302161093,0.6021756529808044,2201600
1996-02-16,3.0811573738160556,3.1679505835421535,3.0052132850853273,3.06325626373291,13356315.0,,,,,,0.6021756464273533,0.6100357365847439,0.5798272003657623,0.6038766503334045,2764800
1996-02-19,3.0637978160645845,3.119128194847258,3.059457685505966,3.0621702671051025,6140727.0,,,,,,0.6038767256653084,0.592438554177465,0.5900917971698258,0.591382622718811,1024000
1996-02-20,3.0920057217511507,3.0920057217511507,2.8641735125213534,2.927640914916992,10201832.0,,,,,,0.5913826810456969,0.5895056404304546,0.5818803710276694,0.5819975137710571,614400
1996-02-21,2.927640914916992,2.927640914916992,2.927640914916992,2.927640914916992,0.0,,,,,,0.5819975137710571,0.5819975137710571,0.5819975137710571,0.5819975137710571,0
1996-02-22,2.9276412106090293,3.037217678978008,2.991651135824591,2.9992458820343018,3355435.0,,,,,,0.5819972191997402,0.5842262239405392,0.5773631734780121,0.5774803161621094,307200
1996-02-23,2.9992458188902176,3.005212773982072,2.9195046118136605,2.9607315063476562,3290009.0,,,,,,0.57748039639903,0.5830532312393188,0.577187289037185,0.5830532312393188,153600
1996-02-26,2.9607326592280447,3.037761072544178,2.9303548720154704,2.9677841663360596,4392909.0,,,,,,0.5830533650560681,0.5865725874900818,0.5804135007109703,0.5865725874900818,204800
1996-02-27,2.967783468656149,2.9997885564102407,2.940118270994922,2.958561897277832,4603208.0,,,,,,0.5865725742490057,0.5719082885340334,0.5572440028190613,0.5572440028190613,153600
1996-02-28,2.958561115192542,3.0361322481399737,2.929268375828747,2.9417450428009033,3341415.0,,,,,,0.5572440077044107,0.5584170818328857,0.5584170818328857,0.5584170818328857,51200
1996-02-29,2.9417454156578917,2.929268747104357,2.712828393355829,2.7562248706817627,8482054.0,,,,,,0.5584171445455998,0.5513780903576021,0.5490319776387399,0.5502050518989563,460800
1996-03-01,2.7562245529299116,2.831626104913368,2.7356113494580425,2.8034183979034424,7145488.0,,,,,,0.5502050503564332,0.557244068723126,0.5396468092189574,0.5543110966682434,512000
1996-03-04,2.803418165712293,2.847899425277663,2.777380042712027,2.814809799194336,6318313.0,,,,,,0.5572441090054705,0.5631100535392761,0.5572441090054705,0.5631100535392761,153600
1996-03-05,2.8148097991943364,2.8148097991943364,2.8148097991943364,2.814809799194336,0.0,,,,,,0.5631100535392761,0.5631100535392761,0.5631100535392761,0.5631100535392761,0
1996-03-06,2.8148104841809674,2.8218624725062496,2.7556824789454653,2.8115553855895996,4112511.0,,,,,,0.5723771981007818,0.5723771981007818,0.5472717881202698,0.5472717881202698,204800
1996-03-07,2.811555354713279,2.842475648071202,2.761649404078702,2.7762961387634277,4621902.0,,,,,,0.5472720820614616,0.5631100535392761,0.5513198795107807,0.5631100535392761,307200
1996-03-08,2.776296782061774,2.744833964987635,2.6905881121393196,2.735612392425537,5682743.0,,,,,,0.563109898884851,0.5677433013916016,0.5584170299816383,0.5677433013916016,256000
1996-03-11,2.7356108413449105,2.7215066278150526,2.6368835225031932,2.6607518196105957,4832200.0,,,,,,0.5677434653084807,0.5631100614639901,0.5596491233509858,0.5619363784790039,153600
1996-03-12,2.660752655998464,2.658040073925588,2.571789392769349,2.583723545074463,4276077.0,,,,,,0.5619363705708073,0.5631100535392761,0.551378128670092,0.5631100535392761,409600
1996-03-13,2.5837238420439923,2.79907943236152,2.594030446290007,2.7887723445892334,9285863.0,,,,,,0.5631099933382435,0.5574789077254888,0.5496187806129456,0.5496187806129456,870400
1996-03-14,2.7990789859181233,2.864173699873416,2.7453756655826838,2.7703287601470947,13019837.0,,,,,,0.549618839371658,0.5631100535392761,0.5628163374341815,0.5631100535392761,307200
1996-03-15,2.770328760691234,2.7882293839470353,2.7285595921209427,2.737238645553589,14347057.0,,,,,,0.5631099969348323,0.5608221334422402,0.5607632398605347,0.5607632398605347,153600
1996-03-18,2.592944693068221,2.623322464417271,2.5224255488394434,2.5457513332366943,17903444.0,,,,,,0.5607630658929789,0.5631098222392338,0.5607630658929789,0.5615841746330261,1228800
1996-03-19,2.5170015200766565,2.592945114625335,2.4432267823701688,2.4844536781311035,16001408.0,,,,,,0.5615844053064014,0.5631100535392761,0.5572441090054705,0.5631100535392761,256000
1996-03-20,2.4844536781311035,2.4844536781311035,2.4844536781311035,2.4844536781311035,0.0,,,,,,0.5631100535392761,0.5631100535392761,0.5631100535392761,0.5631100535392761,0
1996-03-21,2.506152074712936,2.6092193205981475,2.506152074712936,2.5544309616088867,11290713.0,,,,,,0.5631099451748505,0.5674502406405384,0.5613500475883484,0.5613500475883484,256000
1996-03-22,2.5544314562935915,2.5387004103440014,2.3434157262001287,2.409595251083374,22702932.0,,,,,,0.5613500373317851,0.5713214177464055,0.5655143322222661,0.5686233043670654,768000
1996-03-25,2.332566302277419,2.332566302277419,2.1806781268030617,2.2468576431274414,57836865.0,,,,,,0.5686234321842388,0.5629923458902283,0.5531380701812173,0.5619363784790039,409600
1996-03-26,2.2050880870699796,2.3759618736274257,2.2029180217483675,2.3195464611053467,36035881.0,,,,,,0.5619364067704167,0.5607633323531205,0.5544282793998718,0.5544282793998718,204800
1996-03-27,2.3000183914560495,2.378675059396692,2.3000183914560495,2.3520944118499756,27810858.0,,,,,,0.5544281428947662,0.5631099511718499,0.5584170818328857,0.5584170818328857,716800
1996-03-28,2.40905213245875,2.4844536946196283,2.408509616040717,2.4752321243286133,34297411.0,,,,,,0.5584170666330817,0.5702072381973267,0.5689753063270313,0.5702072381973267,307200
1996-03-29,2.4844537926229724,2.506152032569124,2.398745623954114,2.4291234016418457,24044172.0,,,,,,0.5702072099959865,0.5912065456228466,0.5748412212042734,0.5900334715843201,716800
1996-04-01,2.4285798352911363,2.484452718557016,2.4285798352911363,2.462754487991333,12599239.0,,,,,,0.5900334715843201,0.5900334715843201,0.5900334715843201,0.5900334715843201,0
1996-04-02,2.4627550783451926,2.592944734710429,2.457330640284972,2.5490057468414307,34236658.0,,,,,,0.5900335129843655,0.5924385190010071,0.5853995014509304,0.5924385190010071,614400
1996-04-03,2.549005971727618,2.647190799439619,2.5294773160513047,2.5479211807250977,16870643.0,,,,,,0.5924385960271007,0.594784744573808,0.587745726108551,0.587745726108551,512000
1996-04-04,2.5175436291787565,2.620068355270404,2.4958453895756585,2.613016366958618,44302964.0,,,,,,0.587745661634753,0.5865725874900818,0.5865725874900818,0.5865725874900818,51200
1996-04-05,2.613016366958618,2.613016366958618,2.613016366958618,2.613016366958618,0.0,,,,,,0.5865725874900818,0.5865725874900818,0.5865725874900818,0.5865725874900818,0
1996-04-08,2.662380031725297,2.7524280965057115,2.6363421419511157,2.7339844703674316,50901676.0,,,,,,0.5865726215005583,0.5899747014045715,0.5865726215005583,0.5899747014045715,256000
1996-04-09,2.733983331470586,2.847899172660216,2.7242192477542653,2.78171968460083,50196006.0,,,,,,0.589974655422551,0.6217670907217311,0.5936115933363124,0.6200071573257446,2099200
1996-04-10,2.747545202510457,2.796366107702127,2.669431077267243,2.7008938789367676,44008546.0,,,,,,0.6200072668751119,0.68277050261664,0.6511546350562105,0.6540287137031555,4505600
1996-04-11,2.6580396575517637,2.701978403224213,2.6395960364502096,2.67702579498291,34788108.0,,,,,,0.654028762192228,0.6522688999579489,0.6393645085622277,0.6464029550552368,1536000
1996-04-12,2.6694312925604233,2.704148469456904,2.659124691110048,2.6987240314483643,19151218.0,,,,,,0.6464028064479614,0.6569616194104247,0.642942441786745,0.656257688999176,1587200
