,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-03-13,397.2036849356402,398.55013223484355,392.5872858097,396.2900085449219,8196569,846.5818201293218,848.9251455168071,838.6885135609504,841.9197998046875,15736264,1241.4707365370484,1245.9858244254206,1235.7647643884725,1240.4783935546875,8132940
2025-03-17,397.20363838043716,400.32933287132437,391.43312547418384,392.3468017578125,5257805,841.1304307424771,850.5037317302232,841.1304307424771,843.79443359375,18950652,1247.4248742515454,1264.1953748180651,1245.1424367918191,1259.2833251953125,11164812
2025-03-18,394.31842149451984,396.1938501173774,392.1544789375377,393.4528503417969,13861897,843.79443359375,843.79443359375,843.79443359375,843.79443359375,0,1259.2833251953125,1259.2833251953125,1259.2833251953125,1259.2833251953125,0
2025-03-19,394.3184059049263,395.0397200620695,387.20144542451675,387.63421630859375,12830387,855.930432694155,863.823739278078,854.5490799535085,860.4197387695312,15221406,1295.6029599370165,1308.2057883620175,1292.1794251380722,1303.0455322265625,11278014
2025-03-20,389.50964497469676,391.0965302508203,386.5282072542035,388.49981689453125,16994037,865.3037412350927,875.1703745445009,862.985106495842,872.5803833007812,17833978,1309.8927772461004,1314.1102350516276,1301.0113557334153,1311.5797119140625,10886735
2025-03-21,390.4233291082126,391.9140333230442,386.3358821349048,390.0386047363281,25302035,866.0684175252852,875.2196836615442,866.0684175252852,873.3696899414062,33508264,1305.923445707521,1338.6707661545943,1301.5571120874529,1332.81591796875,60494318
2025-03-24,391.4331323758087,397.05938842867533,390.08668521067875,395.1839599609375,14362572,877.6369838460287,890.1676194932312,874.997671627427,887.9969482421875,17393736,1345.5675050388625,1362.4870024308004,1334.7510627437973,1347.750732421875,9352280
2025-03-25,396.2419041658655,399.36759879824183,393.06813366389935,394.12603759765625,20338110,890.4143157035983,909.5555477752322,888.7369760332164,898.5789184570312,39101416,1348.5941513991709,1353.3574463042776,1319.8658696966822,1333.4112548828125,16419207
2025-03-26,394.60692684899476,395.47252733324694,390.71184207125464,391.769775390625,13891436,900.3302775382388,901.5636066855513,888.9836493829623,891.2283325195312,24478442,1333.7586400786652,1347.6017762925185,1321.304687138062,1325.6710205078125,10859639
2025-03-27,392.3948763562974,394.99161889585264,390.1347529385877,393.7894287109375,18642328,887.9969842041877,908.2235821777275,887.0596420099644,900.5029296875,41658100,1322.9420827344788,1341.1515523929718,1322.9420827344788,1326.415283203125,15109614
2025-03-28,395.18398159578936,399.7042287729926,392.5391629889967,394.0779724121094,12981873,902.3036249715724,905.7569466636451,890.8829847599874,901.908935546875,28773648,1325.7702231722565,1347.5521031600986,1317.0375564815454,1338.025634765625,8266544
2025-04-01,394.1260406660441,398.55010666561213,390.08669902758044,391.0965270996094,15206240,888.9836405685396,892.8809726796349,870.9030234039785,872.1363525390625,28511006,1329.739654923708,1341.995067068455,1305.328040709696,1308.3546142578125,14288024
2025-04-02,391.4812500970324,394.31843103609066,390.51949782621267,393.4047546386719,8001323,873.5423260418547,887.602278026219,873.5423260418547,886.4676513671875,11573564,1312.026343402594,1327.705290380845,1312.026343402594,1321.056640625,8042214
2025-04-03,391.4812095354885,394.51075235495847,391.1446197558559,393.7413330078125,7059566,878.6729886492828,889.9702954640933,876.6503409310941,885.456298828125,11250038,1311.8278468858045,1322.7932860458366,1311.1332552048473,1319.3697509765625,4591008
2025-04-04,391.91401018990615,397.01128496266676,389.0287536731707,394.0298767089844,18627592,894.4102660639704,908.6921929973271,893.4729239008652,896.5316162109375,33540454,1319.3697112264526,1328.3007984100484,1311.9766830431024,1325.07568359375,8648542
2025-04-07,375.2276160600784,392.49107984083315,375.2276160600784,390.51947021484375,26762866,869.6450067324856,878.0562747489253,857.5090006629878,867.1289672851562,37995450,1285.3322768617725,1314.854481252151,1255.3139009690346,1277.6912841796875,19185012
2025-04-08,396.14571046934793,399.89653803876325,391.6735687769548,396.7708435058594,18600796,870.730371547347,879.1170096868965,863.4784203033727,872.7777099609375,35563872,1289.8969896705237,1300.0189606799747,1277.4927025037578,1289.9466552734375,13085762
2025-04-09,397.20367078899557,403.02226003741157,395.5206043873473,400.37744140625,21785572,870.7303466796875,875.6636630914704,865.0570328061372,870.7303466796875,22454608,1294.9579703581671,1295.106846037701,1274.6646041339118,1290.83984375,13005622
2025-04-11,403.9359315444841,406.292236218633,401.05067489059496,405.4266357421875,8939356,875.540352413462,897.567622795633,875.540352413462,891.3269653320312,32775766,1295.1067945023049,1314.8544439632922,1295.1067945023049,1301.606689453125,13064247
2025-04-15,412.78405461806295,412.78405461806295,402.97417047029376,404.32061767578125,11685880,920.0634812745557,925.8848185421238,915.1301650210728,920.01416015625,49298344,1340.655373037739,1343.9301533432258,1325.9686484021752,1339.8614501953125,15202603
2025-04-16,402.01244544834776,409.754539416005,402.01244544834776,408.21575927734375,13034594,929.3381542000717,929.3381542000717,917.8435030643678,926.476806640625,19136820,1346.6094196449503,1349.2886972283168,1332.6174078978706,1346.0140380859375,14039073
2025-04-17,408.7446879057106,411.48568756526555,405.4266310519838,410.90863037109375,22410217,928.4501090482869,947.0486870380013,925.8354273732423,940.6353759765625,35703084,1351.5711498907554,1398.112060263163,1349.6856739861041,1395.9288330078125,17490424
2025-04-21,411.6780349602343,412.6878924233474,405.3785695227371,406.67694091796875,27388236,949.170085798879,962.3420166432835,942.2634427629204,950.6994018554688,34247298,1425.004587897116,1425.004587897116,1393.9442026732427,1399.0052490234375,16882426
2025-04-22,409.6583488347964,418.169832064902,407.3501201449234,417.0157470703125,32031936,954.5967457498784,972.1593405008402,954.5967457498784,967.7686767578125,45961750,1401.9823098324273,1407.9363681338637,1388.1887172069748,1405.6539306640625,16135274
2025-04-23,419.5163213012109,420.7185115509847,412.4474367624713,414.3709411621094,19566317,976.2540297557508,976.2540297557508,947.4434488933124,949.1207885742188,30570642,1418.0581618237188,1418.9512947601793,1400.4937389943566,1413.493408203125,13990764
2025-04-24,415.3327035949578,419.372045323511,412.88021781478574,413.6015319824219,26064089,942.2634238174406,949.1207455952106,939.8460867592294,945.6181030273438,25931754,1405.4554343163697,1410.3178180904442,1388.0894318786184,1391.95947265625,15678099
2025-04-25,413.60153406654683,416.1502009519827,407.10970652510946,411.4375915527344,22944377,949.5647662059754,953.6100615716746,933.2848220611925,942.8554077148438,18500878,1399.2035920369979,1403.966886762009,1377.769008045682,1394.04345703125,11705093
2025-04-28,410.3315915600767,414.0343435923546,408.5042681552906,412.39935302734375,6287095,942.8554253066497,951.982060830828,941.4741328194633,947.29541015625,13920492,1394.8373106964493,1424.0122194189871,1393.0511659597357,1417.8597412109375,10948561
2025-04-29,412.49552702272155,413.16876532622075,408.7446991826447,409.7064514160156,11189930,946.6048254524144,951.5381421157663,937.4288082816594,941.6715087890625,18918308,1417.8597077945897,1427.2869661678633,1411.7071085959242,1418.85205078125,10786910
2025-04-30,411.05290860172727,412.88023201920157,405.8594522861451,409.51409912109375,10026546,943.7434115323153,955.5340495753018,942.4114402150566,949.6633911132812,31936870,1422.0275444346203,1422.7221360927958,1389.2802248488963,1416.073486328125,14192027
2025-05-02,407.87911477952554,414.99607520497585,407.87911477952554,413.07257080078125,9263372,952.0314262519853,958.0007270723939,947.1967520748111,948.1340942382812,17840404,1415.9742091510598,1435.5233172200462,1413.6917718641512,1419.149658203125,8842434
2025-05-05,413.7938888263413,421.72834456792714,412.92831770641976,420.2376403808594,11525305,956.5700467268101,962.9833580251333,953.2647488384409,955.4847412109375,15068024,1428.9738894731652,1435.7218701832576,1415.081087769954,1418.455078125,4565705
2025-05-06,420.7666029152538,422.834364350939,416.43871785669694,418.89117431640625,15026568,952.1300492793257,957.112686715781,949.3180830668039,952.9686889648438,17490156,1418.0581160771362,1422.7220796211836,1409.5239906903596,1420.63818359375,6301690
2025-05-07,416.823396791454,418.362206178502,413.2649312686502,414.6594543457031,9710361,954.1033540161453,961.3553047488027,948.3807192627594,959.8259887695312,21420778,1414.0887881642996,1430.9586193213472,1410.119416127347,1424.4091796875,10480453
2025-05-08,412.59168381124715,414.9960642530376,407.350122708005,414.1304931640625,19937960,964.364722012384,964.364722012384,946.752746184645,951.3900756835938,34803430,1427.5846620245352,1437.8058437113664,1415.1803741209164,1424.5084228515625,15306490
2025-05-09,409.6583569091965,412.73594630577514,406.8211762096756,407.3501281738281,8226512,942.3127568324845,946.7034204881495,930.8181657127636,932.248779296875,17188796,1404.3638078003796,1409.0278927234135,1376.379782804671,1378.2652587890625,13491197
2025-05-12,413.072565475096,419.5163168862086,411.7741941489348,418.84307861328125,8031891,946.0127244576516,966.8806765571811,943.3981029435623,965.5486450195312,18618972,1398.6082269981746,1441.8743569081432,1393.249550653154,1437.4088134765625,9925445
2025-05-13,418.2660177094136,421.1993794721109,409.08129611962823,411.53375244140625,14976369,961.9967305905121,967.7686868855955,947.1967808891196,948.4794311523438,24242102,1429.0731325397105,1436.8134564073198,1416.4704248722041,1419.6458740234375,12475424
2025-05-14,410.7643618513902,415.332684705315,409.6102474955229,412.6878662109375,9557309,948.2327622761527,952.2287366384547,938.8101397074491,942.5594482421875,15445308,1418.9512828044426,1429.6685145448027,1406.4477852062123,1415.279541015625,8026837
2025-05-15,412.6878727466996,418.74689983509177,409.7064350721147,416.1020812988281,24263510,943.9901042439285,959.4314088460198,935.85013208818,954.0047607421875,32241458,1414.9819190581854,1445.3475908699352,1404.6615275498752,1439.6912841796875,18209264
2025-05-16,418.26604202592637,419.51633754430964,415.573147502307,419.03546142578125,16402035,954.0047801554118,958.9380967138302,951.340777169636,954.44873046875,15868010,1442.172107583965,1447.5306627908633,1435.920298328426,1442.86669921875,6439208
2025-05-19,418.362202884726,421.72833555161463,416.10207936688846,418.6988220214844,7543854,955.5834183781088,959.5300716290252,952.6234284399217,956.4220581054688,10202964,1435.4241717584057,1448.5230511072755,1432.7448940711074,1437.905029296875,6005334
2025-05-20,420.28573786333305,423.9403847133091,416.3425477249801,418.26605224609375,9868414,951.1927398071444,954.3993955236706,943.7434439560598,944.6807861328125,23879090,1439.0957378026826,1447.8284044606678,1424.5083444847762,1427.1876220703125,11352383
2025-05-21,419.90103464370577,421.4398441006694,415.4769684613164,416.438720703125,5776672,950.6500948788123,960.4674068130723,947.739426083267,950.5514526367188,15132040,1431.8517946649677,1440.1875004165765,1427.485461067875,1433.637939453125,5510460
2025-05-22,416.43869651769444,416.43869651769444,406.7249935694986,409.8026123046875,19451749,944.828766015395,949.2687509312965,939.895449442171,947.1474609375,21306670,1430.0655182967434,1434.2334317099203,1416.867428660744,1431.057861328125,7245933
2025-05-23,417.40046939575757,422.20923056391143,412.59170822760365,419.61248779296875,18536884,947.2460290070277,955.583345407158,944.4833839865793,953.906005859375,9566072,1431.1570706662649,1440.6836606711147,1423.4168677068544,1438.698974609375,5203706
2025-05-26,421.48791053602,426.58518556334417,420.0452822056058,425.9600524902344,13107662,954.5967478346391,961.947401503022,950.6007734925844,957.1620483398438,10802860,1446.8360701649403,1460.331910515487,1443.8590412139838,1449.4161376953125,5608725
2025-05-27,425.9600297748,427.2103252046928,414.37092787863105,417.30426025390625,26986022,952.9194312599001,961.0100826032541,945.3714929245052,950.3048095703125,26162148,1441.3782192942826,1451.7978208795425,1424.7068083036186,1435.324951171875,14842959
2025-05-28,409.12572033536514,413.92513013654184,404.5221871211176,411.57440185546875,431851622,947.295443323748,954.3501102535763,946.0621141556768,948.9234619140625,18157594,1436.5157355383742,1446.836127202333,1431.454810349359,1442.6683349609375,8618343
2025-05-29,413.337430183069,414.12099629331436,408.04828421108533,410.1541442871094,21478547,951.1433943336576,957.4580633637506,940.9314535555673,950.896728515625,28917794,1445.4467442494526,1451.698553407669,1433.9355900375203,1445.3475341796875,15545514
2025-05-30,410.49697001748797,411.4274510468685,407.85238205791916,409.468505859375,30656239,953.0674622365118,961.4047794767922,949.8608063918771,959.4807739257812,28748078,1448.7216268807567,1449.7139699197687,1433.2410996992944,1434.7296142578125,11803975
2025-06-02,409.7133679967952,411.8192579553598,406.0403458241328,410.6928405761719,14973380,952.1794133521448,955.0900821550082,941.276795842849,953.1660766601562,14668822,1430.9586389930196,1448.8208134048605,1421.8291316367724,1439.3935546875,9458990
