,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-06-24,3597.8473681995324,3643.425611853127,3581.3636764636767,3605.45166015625,1702154,390.9369661412327,394.61361787534224,390.9369661412327,394.00860595703125,9723008
2024-06-25,3605.6408753024607,3634.5935975227003,3582.8752747763524,3625.903076171875,1338808,393.72936061017225,394.66016859976054,390.7042715187919,394.00860595703125,10655609
2024-06-26,3631.6179924136177,3652.8248194664434,3628.3117983770853,3642.339599609375,1639845,393.72935968027775,396.89410093743857,392.8451024171962,394.6136169433594,11511714
2024-06-27,3618.865541478185,3723.7191241208575,3606.679947095457,3716.3037109375,4526556,394.6135952603717,397.6852643999609,391.96082361688974,396.1494445800781,38438054
2024-06-28,3700.8591386940006,3740.722345851188,3682.013879060851,3687.96484375,2731571,396.05635546638285,398.38336062952527,394.19476903576367,395.4978942871094,18554411
2024-07-01,3668.9307461619287,3780.113282123888,3668.9307461619287,3757.91455078125,2658723,396.8010483258212,400.47770023042045,395.2651988468778,399.3607482910156,13391362
2024-07-02,3772.4619129298726,3800.61160880511,3762.0237400230303,3794.94384765625,2307449,400.2449871714336,400.84999908994706,393.3104927215312,396.0563659667969,11177863
2024-07-03,3797.4002085008037,3803.162524946505,3735.9994588608656,3745.681884765625,1821198,396.6148682361784,399.919202771963,396.05637752597346,398.6626281738281,7435499
2024-07-04,3778.3658747158024,3823.2356509992096,3761.598747788845,3798.29736328125,2518001,400.24500559718945,401.64120289640215,397.4991322255142,399.3607482910156,9478861
2024-07-05,3787.953922306711,3803.7764231043757,3767.172130214255,3789.654296875,1668616,399.31418163243075,403.96819211066986,398.0110563385377,403.6424255371094,13427543
2024-07-08,3799.2892844506714,3808.027083028784,3757.7729794930797,3772.083984375,1758882,405.0386270748445,413.78815742675266,403.64242981653535,412.9039001464844,21311436
2024-07-09,3764.3382334203675,3785.0727479543702,3754.9865192673674,3764.810546875,1305801,416.6271172393411,423.5150613210053,413.2762319022778,421.2811279296875,27489709
2024-07-10,3763.109966642414,3781.6247453008073,3685.933998497865,3692.68798828125,2669716,422.30497440394987,423.84082376971406,415.6032042617314,420.210693359375,12065662
2024-07-11,3713.3281952652137,3759.6149115124776,3679.8884965924376,3706.432373046875,4872189,418.86102924280897,427.70366090287615,417.6509759051689,426.9124755859375,19556596
2024-07-12,3759.6151284962884,3967.386003323572,3751.3969204452933,3952.27197265625,13509164,426.912503236289,431.19419667007304,424.3062524940008,427.2848205566406,19693114
2024-07-15,4001.156311371623,4005.2180225102193,3926.8610373129627,3938.338623046875,4848030,427.2847724121332,434.1727158121033,425.5627791871847,431.3337707519531,16876907
2024-07-16,3940.9831443093085,3962.284294879995,3915.3836649055647,3947.076171875,2029521,431.3803035660824,434.4519728201184,429.47216640057155,433.3349914550781,13497253
2024-07-18,3929.6474707764414,4085.5108920932958,3929.6474707764414,4076.583984375,5613364,430.9614860880629,438.31481926756675,430.63569000741666,437.70977783203125,21907158
2024-07-19,4087.8036289679508,4126.954757675217,4057.363435693197,4073.601318359375,3903354,438.40785446446665,446.2266057465609,436.9185558631909,441.7121887207031,25939326
2024-07-22,4071.2820847406656,4090.218499814398,4038.19051447339,4059.35205078125,1896386,441.75876374646487,446.27315152086356,433.614245462781,434.26580810546875,18762384
2024-07-23,4055.233855032219,4129.748843691779,4039.421761308917,4073.554931640625,2365208,434.26580514596367,462.9810529532946,434.12618247349457,458.140869140625,56125835
