,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
1996-01-01,,,,,,1.1692651993046137,1.1692651993046137,1.128746100496624,1.1499704122543335,700000,2.709573211264263,2.7339837872692496,2.7014366749467023,2.725846767425537,1023454.0
1996-01-02,,,,,,1.1499704154063823,1.1673357698016338,1.138393543144482,1.1480408906936646,824000,2.6688888977152083,2.71771029259278,2.582095709760216,2.6227800846099854,7757692.0
1996-01-03,,,,,,1.1480412137271223,1.1557591307400408,1.1383938634633886,1.1519001722335815,568000,2.506151786670669,2.5652797869263133,2.490420745575546,2.5386996269226074,15744376.0
1996-01-04,,,,,,1.1519001218757077,1.1499706887092416,1.1345348553582169,1.1441822052001953,564000,2.5386999113912543,2.60325235745293,2.5115765066728035,2.586435556411743,12874964.0
1996-01-05,,,,,,1.144181758424727,1.1499702396735105,1.1383933691807313,1.1422523260116577,378000,2.58643528036822,2.5766714359431413,2.5332749600777036,2.5397844314575195,5201392.0
1996-01-08,,,,,,1.142252428841375,1.1383934716630513,1.1229576429497565,1.1287460327148438,474000,2.539785034170463,2.5576856616275103,2.446482347155141,2.4616708755493164,13131996.0
1996-01-09,,,,,,1.1287464685053883,1.1287464685053883,1.0805094391504158,1.0920863151550293,966000,2.4616703277228837,2.4942176851025604,2.4329201015967272,2.4551608562469482,9313903.0
1996-01-10,,,,,,1.092085924152637,1.1055923206580383,1.0843680095794932,1.095944881439209,452000,2.4551604042037387,2.495302258462654,2.430207797451568,2.447023868560791,3103076.0
1996-01-11,,,,,,1.0959452738232338,1.1113812005008838,1.0805094391504158,1.0920863151550293,636000,2.4470242526559685,2.4622127772576,2.4356326174416507,2.460042953491211,2313287.0
1996-01-12,,,,,,1.0920859879293445,1.0940155126877125,1.0805091153935513,1.0901565551757812,862000,2.4600433349518616,2.5061521575781613,2.4519067967700963,2.4844539165496826,4991093.0
1996-01-15,,,,,,1.090156781182508,1.0862978228705538,1.0708619896227374,1.0766503810882568,362000,2.4844535039446307,2.495302622657105,2.454618246163008,2.4578733444213867,2098315.0
1996-01-16,,,,,,1.0766503134571812,1.0805092715267304,1.057355523109436,1.057355523109436,716000,2.4578735018880935,2.4741470601178452,2.4410574272471885,2.4502789974212646,3201216.0
1996-01-17,,,,,,1.05735531660256,1.0785796278422726,1.0149067861279344,1.0245541334152222,858000,2.4502791115902403,2.4627555390494607,2.4421425738593547,2.4497365951538086,3196543.0
1996-01-18,,,,,,1.0245543173717901,1.0245543173717901,1.0033300023212963,1.018765926361084,660000,2.4497362653272323,2.439972179601665,2.3868111365405498,2.419358491897583,5346264.0
1996-01-19,,,,,,1.0187657806570052,1.0149068232001712,0.9782466813578469,0.9859645962715149,852000,2.419358908904947,2.424783831710802,2.259334202828255,2.3146650791168213,16749137.0
1996-01-22,,,,,,0.9859648693034969,0.9994711781401621,0.9724584684620032,0.9821059107780457,718000,2.3146649106139243,2.3314809854485756,2.26801357574247,2.2983906269073486,4098491.0
1996-01-23,,,,,,0.9821055895748954,1.003329808520963,0.9685991931507445,0.9763171076774597,798000,2.298390507066374,2.3179191629697975,2.1372807882048095,2.156266927719116,8253062.0
1996-01-24,,,,,,0.9763172550400793,0.9763172550400793,0.9454455922735352,0.951233983039856,898000,2.1562668630533848,2.18610212063979,2.026077439355546,2.0629642009735107,16370599.0
1996-01-25,,,,,,0.9512338447394179,0.9454454548146743,0.9300096256756264,0.9396569728851318,780000,2.0629645682896283,2.061337502407564,2.0233652177566643,2.041808843612671,8454015.0
1996-01-26,,,,,,0.9396569728851318,0.9396569728851318,0.9396569728851318,0.9396569728851318,0,2.041808843612671,2.041808843612671,2.041808843612671,2.041808843612671,0.0
1996-01-29,,,,,,0.9396569845950482,0.9628107285921598,0.9242211552636405,0.9589517712593079,622000,2.0418085412965468,2.199663887112702,2.034756553527321,2.156266927719116,10010226.0
1996-01-30,,,,,,0.9589519044316477,0.9840351765809696,0.9589519044316477,0.9724583029747009,904000,2.156267406572196,2.353722140907881,2.1676590444579587,2.290796995162964,16272460.0
1996-01-31,,,,,,0.9724583616705313,1.0168364258422145,0.9840352359755593,0.9994710683822632,688000,2.2907970350829223,2.2701833414642607,2.1774231707592127,2.2050888538360596,9968167.0
1996-02-01,,,,,,0.9994710438312938,1.0805092539806882,1.0033300018381786,1.072791337966919,848000,2.2050887709355886,2.375962610486249,2.2078008699025675,2.3423304557800293,13057223.0
1996-02-02,,,,,,1.0727911393523937,1.1557587671423524,1.0805090539372828,1.1248871088027954,1638000,2.386268680577406,2.6580398904176197,2.3651132012637124,2.6108460426330566,29264257.0
1996-02-05,,,,,,1.1248874290180135,1.196278205253039,1.1383938293887583,1.1557590961456299,1812000,2.610845839275452,2.875022282785578,2.614643453619501,2.744290351867676,19599855.0
1996-02-06,,,,,,1.1557588055349313,1.176983117350816,1.138393543144482,1.1480408906936646,1776000,2.7990786459627306,2.8202343649880093,2.64230859335666,2.718252658843994,14655495.0
1996-02-07,,,,,,1.1480412734400547,1.128746479904181,1.0901568928324339,1.1055927276611328,1172000,2.6797379034052904,2.7339837342592843,2.604878869578281,2.6781108379364014,14505949.0
1996-02-08,,,,,,1.105592276131,1.2155726923761052,1.1133101903933096,1.175053596496582,1334000,2.7122853853442113,2.9596459865570073,2.679737791485938,2.959645986557007,22801072.0
1996-02-09,,,,,,1.1750536672517171,1.4104502504360121,1.2927519128414642,1.4085208177566528,3440000,2.9596470327349307,3.122926367236094,2.9629014064502184,3.0572891235351562,12650646.0
1996-02-12,,,,,,1.4085211525030696,1.4644760935746468,1.3313418948856042,1.354495644569397,5702000,3.09743054813793,3.09743054813793,2.9292688310369286,2.961273431777954,14991973.0
