,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-03-12,390.8561039985411,397.49218857653574,388.54790449537103,396.6266174316406,13844306,1589.84944650162,1589.84944650162,1518.850635339536,1545.123046875,14870008,1237.4020778822246,1242.3637929723905,1225.8413786306357,1234.425048828125,11548372
2025-03-13,397.20365434770144,398.5501015432174,392.5872555772619,396.28997802734375,8196569,1553.2816045131979,1559.886194636392,1525.163782654934,1534.439208984375,7822888,1241.4707365370484,1245.9858244254206,1235.7647643884725,1240.4783935546875,8132940
2025-03-17,397.20366927579045,400.32936400980094,391.4331559206942,392.3468322753906,5257805,1500.736758011993,1548.1826065260266,1500.736758011993,1544.34619140625,7526032,1247.4248742515454,1264.1953748180651,1245.1424367918191,1259.2833251953125,11164812
2025-03-18,394.318390909805,396.1938193871978,392.1544485206658,393.45281982421875,13861897,1544.34619140625,1544.34619140625,1544.34619140625,1544.34619140625,0,1259.2833251953125,1259.2833251953125,1259.2833251953125,1259.2833251953125,0
2025-03-19,394.3184059049263,395.0397200620695,387.20144542451675,387.63421630859375,12830387,1556.9238965430377,1556.9238965430377,1527.5920028100838,1540.94677734375,7387068,1295.6029599370165,1308.2057883620175,1292.1794251380722,1303.0455322265625,11278014
2025-03-20,389.50964497469676,391.0965302508203,386.5282072542035,388.49981689453125,16994037,1546.240146235024,1584.9932992405397,1546.240146235024,1569.11328125,7186750,1309.8927772461004,1314.1102350516276,1301.0113557334153,1311.5797119140625,10886735
2025-03-21,390.4233291082126,391.9140333230442,386.3358821349048,390.0386047363281,25302035,1532.59385494289,1557.7980274559397,1518.7049607743006,1546.7742919921875,10074677,1305.923445707521,1338.6707661545943,1301.5571120874529,1332.81591796875,60494318
2025-03-24,391.433162603734,397.05941909108105,390.0867153346264,395.1839904785156,14362572,1552.0189913058653,1560.9060103586978,1527.4947691913153,1546.968505859375,8857726,1345.5675050388625,1362.4870024308004,1334.7510627437973,1347.750732421875,9352280
2025-03-25,396.2419041658655,399.36759879824183,393.06813366389935,394.12603759765625,20338110,1558.8663000022038,1589.1209562659596,1558.8663000022038,1581.6422119140625,9890140,1348.5941513991709,1353.3574463042776,1319.8658696966822,1333.4112548828125,16419207
2025-03-26,394.60692684899476,395.47252733324694,390.71184207125464,391.769775390625,13891436,1579.2628561729366,1590.6751185099797,1549.153908730525,1553.4759521484375,6651302,1333.7586400786652,1347.6017762925185,1321.304687138062,1325.6710205078125,10859639
2025-03-27,392.39490676580164,394.9916495065971,390.1347831729387,393.7894592285156,18642328,1549.688079270318,1573.3866387891755,1540.4125339270274,1557.4581298828125,9426573,1322.9420827344788,1341.1515523929718,1322.9420827344788,1326.415283203125,15109614
2025-03-28,395.18398159578936,399.7042287729926,392.5391629889967,394.0779724121094,12981873,1544.2975705237486,1552.504639118573,1515.1598805138667,1525.5037841796875,6799047,1325.7702231722565,1347.5521031600986,1317.0375564815454,1338.025634765625,8266544
2025-04-01,394.12607142001764,398.55013776479905,390.08672946636085,391.0965576171875,15206240,1495.0061979771754,1502.92196020728,1474.2212903040318,1482.6226806640625,12680733,1329.739654923708,1341.995067068455,1305.328040709696,1308.3546142578125,14288024
2025-04-02,391.48121972866625,394.31840044763595,390.51946753245255,393.40472412109375,8001323,1491.0726643663595,1510.9349273715397,1491.0726643663595,1505.593017578125,6193478,1312.026343402594,1327.705290380845,1312.026343402594,1321.056640625,8042214
2025-04-03,391.4812095354885,394.51075235495847,391.1446197558559,393.7413330078125,7059566,1490.538435185599,1490.538435185599,1442.3641486583924,1453.4849853515625,10459504,1311.8278468858045,1322.7932860458366,1311.1332552048473,1319.3697509765625,4591008
2025-04-04,391.9140405436106,397.0113157111547,389.02878380341224,394.0299072265625,18627592,1418.5197886514006,1429.6892358061361,1406.3790852223406,1409.9241943359375,9590254,1319.3697112264526,1328.3007984100484,1311.9766830431024,1325.07568359375,8648542
2025-04-07,375.2276160600784,392.49107984083315,375.2276160600784,390.51947021484375,26762866,1313.1385736419368,1365.489314158466,1269.4320382766355,1356.602294921875,21715252,1285.3322768617725,1314.854481252151,1255.3139009690346,1277.6912841796875,19185012
2025-04-08,396.145740938844,399.89656879675374,391.6735989024767,396.7708740234375,18600796,1389.8677955834949,1414.6348317731379,1374.3276944448953,1387.7310791015625,12805001,1289.8969896705237,1300.0189606799747,1277.4927025037578,1289.9466552734375,13085762
2025-04-09,397.20367078899557,403.02226003741157,395.5206043873473,400.37744140625,21785572,1364.663707842691,1368.9371407012397,1342.1791008495861,1363.3524169921875,8546854,1294.9579703581671,1295.106846037701,1274.6646041339118,1290.83984375,13005622
2025-04-11,403.9359011391154,406.29220563589877,401.05064470240745,405.4266052246094,8939356,1370.6855647660782,1397.4437254302495,1356.893771609889,1368.937255859375,12567440,1295.1067945023049,1314.8544439632922,1295.1067945023049,1301.606689453125,13064247
2025-04-15,412.78405461806295,412.78405461806295,402.97417047029376,404.32061767578125,11685880,1404.0480742507405,1406.087688754894,1368.5001176189407,1385.011474609375,10178530,1340.655373037739,1343.9301533432258,1325.9686484021752,1339.8614501953125,15202603
2025-04-16,402.0124153945198,409.75450878339007,402.0124153945198,408.2157287597656,13034594,1384.0402738742662,1386.4684147056246,1356.6508927211694,1372.4822998046875,12022740,1346.6094196449503,1349.2886972283168,1332.6174078978706,1346.0140380859375,14039073
2025-04-17,408.7446879057106,411.48568756526555,405.4266310519838,410.90863037109375,22410217,1357.8162328834976,1388.7022289531085,1338.6825322481727,1378.6982421875,14264227,1351.5711498907554,1398.112060263163,1349.6856739861041,1395.9288330078125,17490424
2025-04-21,411.6780349602343,412.6878924233474,405.3785695227371,406.67694091796875,27388236,1369.4714582615436,1429.4951483248678,1369.4714582615436,1409.29296875,15648970,1425.004587897116,1425.004587897116,1393.9442026732427,1399.0052490234375,16882426
2025-04-22,409.65837881395373,418.1698626669371,407.35014995516246,417.0157775878906,32031936,1398.6091260339042,1398.6091260339042,1378.5041672717928,1381.903564453125,9399738,1401.9823098324273,1407.9363681338637,1388.1887172069748,1405.6539306640625,16135274
2025-04-23,419.5163213012109,420.7185115509847,412.4474367624713,414.3709411621094,19566317,1404.4365301839098,1445.0350886470426,1398.2204665039803,1432.505859375,11136642,1418.0581618237188,1418.9512947601793,1400.4937389943566,1413.493408203125,13990764
2025-04-24,415.3326729496452,419.3720143801557,412.88018735042976,413.60150146484375,26064089,1427.6496829084983,1440.2760150192205,1419.4911061400271,1429.1065673828125,7114292,1405.4554343163697,1410.3178180904442,1388.0894318786184,1391.95947265625,15678099
2025-04-25,413.60153406654683,416.1502009519827,407.10970652510946,411.4375915527344,22944377,1433.0887071514799,1458.535575435,1421.4336312546193,1437.653564453125,8329979,1399.2035920369979,1403.966886762009,1377.769008045682,1394.04345703125,11705093
2025-04-28,410.331561195513,414.0343129537871,408.50423792594904,412.3993225097656,6287095,1437.6534907325017,1446.7833234291916,1423.1818670852326,1439.4989013671875,5886253,1394.8373106964493,1424.0122194189871,1393.0511659597357,1417.8597412109375,10948561
2025-04-29,412.4954962973951,413.16873455074716,408.74466873670406,409.7064208984375,11189930,1439.4019470928108,1466.4029217301106,1431.7289980215003,1454.4564208984375,8056743,1417.8597077945897,1427.2869661678633,1411.7071085959242,1418.85205078125,10786910
2025-04-30,411.0528779694748,412.8802012507744,405.8594220409165,409.5140686035156,10026546,1453.7764926957282,1465.431568419441,1439.984581952398,1456.9815673828125,7704183,1422.0275444346203,1422.7221360927958,1389.2802248488963,1416.073486328125,14192027
2025-05-02,407.87911477952554,414.99607520497585,407.87911477952554,413.07257080078125,9263372,1456.5930649551544,1479.4175886205041,1453.1936678135066,1463.586181640625,7402310,1415.9742091510598,1435.5233172200462,1413.6917718641512,1419.149658203125,8842434
2025-05-05,413.7938888263413,421.72834456792714,412.92831770641976,420.2376403808594,11525305,1471.453369034679,1479.2234198282615,1459.6040889990923,1465.2373046875,4282493,1428.9738894731652,1435.7218701832576,1415.081087769954,1418.455078125,4565705
