Stock,Recommended Allocation (%),What This Means
ITC.NS,40.0,Invest 40.0% of your portfolio in ITC.NS
TCS.NS,40.0,Invest 40.0% of your portfolio in TCS.NS
WIPRO.NS,20.0,Invest 20.0% of your portfolio in WIPRO.NS
