Stock,Recommended Allocation (%),What This Means
ITC.NS,45.11,Invest 45.1% of your portfolio in ITC.NS
ICICIBANK.NS,42.02,Invest 42.0% of your portfolio in ICICIBANK.NS
SBIN.NS,12.87,Invest 12.9% of your portfolio in SBIN.NS
