,Weight,Marginal VaR,Component VaR,% Contribution
ITC.NS,-1.5734568332085097e-09,0.0021925309572501258,-3.449852816706405e-12,-1.4224084221056712e-08
TCS.NS,2.7807781180509167e-09,0.014848040849743354,4.1289107090892456e-11,1.70239070440629e-07
INFY.NS,0.9999999987926786,0.024253602283809513,0.02425360225452762,99.99999984398502
