Risk Metric,Percentage,Amount (INR),What This Means
Maximum Daily Loss (Worst Case),1.86%,"₹9,310.34","On 95% of days, you might lose at most this amount"
Average Loss (If Bad Day Occurs),2.55%,"₹12,752.95","If a bad day occurs, expect losses around this amount on average"
